,State,369,374,381,388,395,402,409,416,423,430
0,Washington,4148,219,178,95,47,26,15,9,6,4
1,Illinois,20744,875,691,348,157,78,42,24,13,8
2,California,37543,3077,3234,2214,1413,936,644,457,329,241
3,Arizona,12239,897,925,619,378,236,153,102,68,46
4,Massachusetts,14178,511,471,287,163,97,61,39,26,17
5,Wisconsin,6199,276,218,112,53,28,16,10,6,4
6,Texas,35090,2651,2934,2289,1648,1243,1005,834,692,572
7,Nebraska,1894,85,63,29,11,4,2,1,0,0
8,Utah,1597,124,87,37,12,5,2,1,0,0
9,Oregon,1882,128,119,80,56,41,30,21,15,11
10,Florida,25446,955,1050,763,508,349,251,186,140,105
11,New York,42544,1515,1749,1392,1049,826,683,582,504,438
12,Rhode Island,2110,99,77,36,14,5,2,1,0,0
13,Georgia,13303,697,807,605,407,276,196,142,106,80
14,New Hampshire,990,74,68,44,28,20,15,11,8,6
15,North Carolina,8720,583,600,413,265,176,122,86,62,45
16,New Jersey,20972,705,689,462,302,210,152,113,84,63
17,Colorado,5512,217,144,58,20,8,4,2,1,0
18,Maryland,6900,355,319,192,110,68,44,30,20,14
19,Nevada,4029,223,219,135,73,40,23,14,8,5
20,Tennessee,8970,396,308,147,58,25,12,6,3,1
21,Hawaii,341,9,10,7,4,3,1,1,0,0
22,Indiana,9728,436,311,137,50,20,9,4,2,1
23,Kentucky,3460,223,173,91,48,30,20,14,10,7
24,Minnesota,6166,213,153,68,26,11,6,3,2,1
25,Oklahoma,3293,220,192,110,59,34,21,13,9,6
26,Pennsylvania,20593,1058,1001,620,357,215,135,87,58,38
27,South Carolina,6552,531,633,514,380,285,219,171,135,107
28,District of Columbia,879,42,40,26,18,13,11,8,7,5
29,Kansas,3613,285,241,137,75,46,30,20,14,10
30,Missouri,6786,274,211,103,43,20,10,5,3,1
31,Vermont,171,6,5,3,2,1,1,1,1,0
32,Virginia,6081,469,466,357,296,262,233,201,168,138
33,Connecticut,6911,274,230,129,68,39,24,15,10,6
34,Iowa,4488,229,161,69,25,10,4,2,1,0
35,Louisiana,8590,376,364,234,142,92,63,45,33,24
36,Ohio,10768,514,429,237,123,70,43,27,17,11
37,Michigan,15219,494,353,160,64,29,15,8,4,2
38,South Dakota,1705,62,54,29,14,8,4,3,2,1
39,Arkansas,4650,291,241,127,60,30,16,9,5,3
40,Delaware,1049,40,37,23,13,8,5,3,2,1
41,Mississippi,5777,300,312,215,139,93,66,48,35,26
42,New Mexico,3157,163,131,69,34,19,11,7,4,3
43,North Dakota,1436,35,31,17,10,6,5,3,2,1
44,Wyoming,571,47,31,12,4,1,1,0,0,0
45,Alaska,259,10,10,7,6,5,3,2,2,1
46,Maine,547,79,99,85,66,53,43,36,30,25
47,Alabama,6662,343,323,198,114,71,47,33,23,17
48,Idaho,1681,71,53,24,10,5,2,1,1,0
49,Montana,1151,46,29,10,3,1,0,0,0,0
50,Puerto Rico,1778,0,0,0,0,0,0,0,0,0
51,Virgin Islands,24,0,0,0,0,0,0,0,0,0
52,Guam,129,3,3,2,1,0,0,0,0,0
53,West Virginia,1899,144,153,107,69,46,32,22,16,11
54,Northern Mariana Islands,2,0,0,0,0,0,0,0,0,0
55,American Samoa,0,0,0,0,0,0,0,0,0,0
