,Region,453,458,465,472,479
0,Belgium,,24640,22657,20791,18988
1,Bulgaria,,10598,7737,6359,5460
2,Czechia,,18868,15818,14170,12885
3,Denmark,,NaN,NaN,NaN,NaN
4,Germany,,152062,160997,170037,171247
5,Estonia,,NaN,NaN,NaN,NaN
6,Ireland,,2207,1852,1539,1277
7,Greece,,NaN,NaN,NaN,NaN
8,Spain,,50679,37293,25272,17101
9,France,,268228,251074,202574,141083
10,Croatia,,17538,18864,19097,17712
11,Italy,,95888,94378,91655,88918
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,NaN,NaN,NaN,NaN
14,Lithuania,,NaN,NaN,NaN,NaN
15,Luxembourg,,NaN,NaN,NaN,NaN
16,Hungary,,37003,36492,34656,30536
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,57301,61949,65036,62958
19,Austria,,13550,11195,9352,7799
20,Poland,,93091,77691,69984,64654
21,Portugal,,3295,2842,2615,2538
22,Romania,,NaN,NaN,NaN,NaN
23,Slovenia,,NaN,NaN,NaN,NaN
24,Slovakia,,3874,3343,2990,2870
25,Finland,,NaN,NaN,NaN,NaN
26,Sweden,,NaN,NaN,NaN,NaN
27,United Kingdom,,13524,11572,10483,10327
28,Iceland,,17,7,3,1
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,NaN,NaN,NaN,NaN
31,Switzerland,,16058,17197,18030,18736
