,Region,474,479,486,493,500
0,Belgium,,NaN,NaN,NaN,NaN
1,Bulgaria,,NaN,NaN,NaN,NaN
2,Czechia,,9776,7852,6789,5872
3,Denmark,,NaN,NaN,NaN,NaN
4,Germany,,73060,52160,37310,27588
5,Estonia,,NaN,NaN,NaN,NaN
6,Ireland,,2344,1974,1741,1549
7,Greece,,NaN,NaN,NaN,NaN
8,Spain,,NaN,NaN,NaN,NaN
9,France,,NaN,NaN,NaN,NaN
10,Croatia,,8058,6570,5424,4016
11,Italy,,52910,45270,40528,37672
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,NaN,NaN,NaN,NaN
14,Lithuania,,NaN,NaN,NaN,NaN
15,Luxembourg,,NaN,NaN,NaN,NaN
16,Hungary,,7901,6294,5428,4863
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,49204,45494,41075,36742
19,Austria,,8217,6440,5378,4848
20,Poland,,23928,20371,17605,15335
21,Portugal,,2110,1966,1906,1837
22,Romania,,NaN,NaN,NaN,NaN
23,Slovenia,,NaN,NaN,NaN,NaN
24,Slovakia,,2193,1904,1758,1625
25,Finland,,NaN,NaN,NaN,NaN
26,Sweden,,NaN,NaN,NaN,NaN
27,United Kingdom,,12092,11306,10461,9806
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,NaN,NaN,NaN,NaN
31,Switzerland,,NaN,NaN,NaN,NaN
