,Region,460,465,472,479,486
0,Belgium,,23237,19959,18038,15841
1,Bulgaria,,8465,6069,4508,3325
2,Czechia,,16077,14886,13170,12008
3,Denmark,,NaN,NaN,NaN,NaN
4,Germany,,88512,64899,47116,33660
5,Estonia,,NaN,NaN,NaN,NaN
6,Ireland,,3291,3561,3722,3724
7,Greece,,NaN,NaN,NaN,NaN
8,Spain,,NaN,NaN,NaN,NaN
9,France,,NaN,NaN,NaN,NaN
10,Croatia,,14589,13885,12829,11542
11,Italy,,89055,85189,79984,75939
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,NaN,NaN,NaN,NaN
14,Lithuania,,NaN,NaN,NaN,NaN
15,Luxembourg,,NaN,NaN,NaN,NaN
16,Hungary,,17199,13870,11237,9443
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,NaN,NaN,NaN,NaN
19,Austria,,14315,12996,12017,10827
20,Poland,,43407,22800,11577,5850
21,Portugal,,3504,3583,3687,3851
22,Romania,,NaN,NaN,NaN,NaN
23,Slovenia,,NaN,NaN,NaN,NaN
24,Slovakia,,3366,3008,2852,2807
25,Finland,,NaN,NaN,NaN,NaN
26,Sweden,,41715,41771,39017,34575
27,United Kingdom,,14148,13955,13755,13750
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,NaN,NaN,NaN,NaN
31,Switzerland,,NaN,NaN,NaN,NaN
