,State,291,297,304
0,Washington,117331,8682,8864
1,Illinois,487987,66487,64547
2,California,972713,37497,37263
3,Arizona,259264,12885,11918
4,Massachusetts,171399,10391,8111
5,Wisconsin,281910,41586,41632
6,Texas,1003478,53805,53474
7,Nebraska,83969,12332,13614
8,Utah,132621,17420,18785
9,Oregon,50448,4865,5031
10,Florida,843897,33336,31549
11,New York,529036,12536,8315
12,Rhode Island,36380,2957,2426
13,Georgia,406061,11686,11414
14,New Hampshire,12488,1179,1082
15,North Carolina,293339,17556,18103
16,New Jersey,254595,9619,8821
17,Colorado,130984,21709,21864
18,Maryland,153996,7883,7309
19,Nevada,110022,8467,8766
20,Tennessee,281851,19062,19687
21,Hawaii,16179,NaN,NaN
22,Indiana,210374,28059,30340
23,Kentucky,120838,13632,13615
24,Minnesota,180862,28334,29863
25,Oklahoma,136258,8743,8885
26,Pennsylvania,235014,19291,18976
27,South Carolina,185688,8338,8083
28,District of Columbia,18001,609,551
29,Kansas,104622,11932,12251
30,Missouri,212869,25376,26256
31,Vermont,2392,81,51
32,Virginia,192175,10278,10176
33,Connecticut,78125,4628,4185
34,Iowa,154778,23626,22882
35,Louisiana,192981,3450,3270
36,Ohio,250268,30425,31908
37,Michigan,229073,33453,33430
38,South Dakota,55404,9264,11138
39,Arkansas,121866,9259,9583
40,Delaware,26603,1290,1190
41,Mississippi,126689,6100,6173
42,New Mexico,54881,7429,7801
43,North Dakota,54305,9953,9522
44,Wyoming,17310,3649,4077
45,Alaska,19826,NaN,NaN
46,Maine,7693,874,807
47,Alabama,204665,10526,10223
48,Idaho,72961,8576,8963
49,Montana,39679,6289,6724
50,Puerto Rico,38100,NaN,NaN
51,Virgin Islands,1405,NaN,NaN
52,Guam,5077,NaN,NaN
53,West Virginia,28404,3278,3515
54,Northern Mariana Islands,100,NaN,NaN
55,American Samoa,0,NaN,NaN
