,State,305,311,318
0,Washington,141260,13705,13646
1,Illinois,656298,89692,97946
2,California,1114524,84783,84484
3,Arizona,299665,23665,23598
4,Massachusetts,206850,16716,13906
5,Wisconsin,376238,57176,63068
6,Texas,1153529,77550,78422
7,Nebraska,114061,16859,19157
8,Utah,177176,23814,25439
9,Oregon,65170,8292,8439
10,Florida,938414,55409,54296
11,New York,596214,24931,21230
12,Rhode Island,48001,5418,4833
13,Georgia,449132,26341,26741
14,New Hampshire,17637,3040,3075
15,North Carolina,336775,24435,24777
16,New Jersey,306007,23367,18578
17,Colorado,198600,40786,48597
18,Maryland,182139,16192,15992
19,Nevada,133888,13472,13347
20,Tennessee,340476,30071,30926
21,Hawaii,17483,NaN,NaN
22,Indiana,295357,49672,56309
23,Kentucky,158100,21288,22221
24,Minnesota,270157,49398,57102
25,Oklahoma,174330,19685,20486
26,Pennsylvania,313358,43126,44560
27,South Carolina,206295,11365,11535
28,District of Columbia,20151,1077,994
29,Kansas,137085,18428,19187
30,Missouri,277112,32537,34858
31,Vermont,3629,478,452
32,Virginia,217796,14737,15115
33,Connecticut,101469,8839,7845
34,Iowa,211664,27434,30740
35,Louisiana,220192,14184,12117
36,Ohio,351419,56246,61964
37,Michigan,329021,59265,68901
38,South Dakota,73065,8495,9423
39,Arkansas,145173,12756,13308
40,Delaware,31808,2816,2652
41,Mississippi,143180,10009,9636
42,New Mexico,81896,16190,18329
43,North Dakota,72683,9057,9918
44,Wyoming,28169,5798,6690
45,Alaska,27773,NaN,NaN
46,Maine,10359,1193,1225
47,Alabama,232506,15597,15822
48,Idaho,91653,10374,10952
49,Montana,55680,8744,9342
50,Puerto Rico,47459,NaN,NaN
51,Virgin Islands,1504,NaN,NaN
52,Guam,6452,NaN,NaN
53,West Virginia,40478,6579,7951
54,Northern Mariana Islands,104,NaN,NaN
55,American Samoa,0,NaN,NaN
