,State,312,318,325
0,Washington,162700,18749,19415
1,Illinois,720114,73495,84569
2,California,1215455,97501,96326
3,Arizona,325995,27140,25565
4,Massachusetts,224964,16441,14504
5,Wisconsin,409054,38856,40991
6,Texas,1225118,69722,69093
7,Nebraska,126466,13561,16390
8,Utah,193809,18660,19255
9,Oregon,74119,9065,9698
10,Florida,992660,51528,49416
11,New York,641161,33677,26533
12,Rhode Island,53954,5136,4560
13,Georgia,469516,22407,22989
14,New Hampshire,20516,2961,3151
15,North Carolina,361778,25283,26210
16,New Jersey,334114,23001,18832
17,Colorado,228772,37413,46825
18,Maryland,196447,14374,14159
19,Nevada,150527,17835,18155
20,Tennessee,366518,28217,30121
21,Hawaii,18138,NaN,NaN
22,Indiana,333312,45530,53046
23,Kentucky,176925,18594,21500
24,Minnesota,312969,46639,56323
25,Oklahoma,195545,21885,23928
26,Pennsylvania,360944,50516,53104
27,South Carolina,216129,10196,10079
28,District of Columbia,21448,965,910
29,Kansas,155500,16858,21710
30,Missouri,302409,27224,30568
31,Vermont,4100,303,370
32,Virginia,235942,18487,18663
33,Connecticut,112581,8465,7547
34,Iowa,228690,19310,23385
35,Louisiana,232245,11070,10189
36,Ohio,414432,66065,74601
37,Michigan,378152,58430,69672
38,South Dakota,79900,6883,7767
39,Arkansas,156247,12212,12653
40,Delaware,35251,3228,3081
41,Mississippi,151785,8326,8357
42,New Mexico,95417,16329,18889
43,North Dakota,78658,6059,7137
44,Wyoming,32489,4816,4778
45,Alaska,32065,NaN,NaN
46,Maine,11508,896,911
47,Alabama,247229,14976,15048
48,Idaho,100484,9459,10253
49,Montana,61801,5915,6851
50,Puerto Rico,51702,NaN,NaN
51,Virgin Islands,1544,NaN,NaN
52,Guam,6768,NaN,NaN
53,West Virginia,46997,6440,7510
54,Northern Mariana Islands,105,NaN,NaN
55,American Samoa,0,NaN,NaN
