,Region,669,675,682,689,696
0,Belgium,247,247,247,247,247
1,Bulgaria,974,974,974,974,974
2,Czechia,598,598,598,598,598
3,Denmark,47,47,47,47,47
4,Germany,1410,1410,1410,1410,1410
5,Estonia,62,62,62,62,62
6,Ireland,43,43,43,43,43
7,Greece,547,547,547,547,547
8,Spain,137,137,137,137,137
9,France,322,322,322,322,322
10,Croatia,422,422,422,422,422
11,Italy,402,402,402,402,402
12,Cyprus,3,3,3,3,3
13,Latvia,188,188,188,188,188
14,Lithuania,204,204,204,204,204
15,Luxembourg,7,7,7,7,7
16,Hungary,913,913,913,913,913
17,Malta,1,1,1,1,1
18,Netherlands,234,234,234,234,234
19,Austria,309,309,309,309,309
20,Poland,1955,1955,1955,1955,1955
21,Portugal,64,64,64,64,64
22,Romania,1890,1890,1890,1890,1890
23,Slovenia,122,122,122,122,122
24,Slovakia,324,324,324,324,324
25,Finland,33,33,33,33,33
26,Sweden,28,28,28,28,28
27,United Kingdom,1032,1032,1032,1032,1032
28,Iceland,0,0,0,0,0
29,Liechtenstein,0,0,0,0,0
30,Norway,49,49,49,49,49
31,Switzerland,56,56,56,56,56
