,Region,578,584,591,598,605
0,Belgium,33,33,33,33,33
1,Bulgaria,131,131,131,131,131
2,Czechia,12,12,12,12,12
3,Denmark,6,6,6,6,6
4,Germany,109,109,109,109,109
5,Estonia,2,2,2,2,2
6,Ireland,15,15,15,15,15
7,Greece,160,160,160,160,160
8,Spain,666,666,666,666,666
9,France,599,599,599,599,599
10,Croatia,18,18,18,18,18
11,Italy,319,319,319,319,319
12,Cyprus,27,27,27,27,27
13,Latvia,8,8,8,8,8
14,Lithuania,36,36,36,36,36
15,Luxembourg,2,2,2,2,2
16,Hungary,8,8,8,8,8
17,Malta,6,6,6,6,6
18,Netherlands,57,57,57,57,57
19,Austria,6,6,6,6,6
20,Poland,17,17,17,17,17
21,Portugal,77,77,77,77,77
22,Romania,64,64,64,64,64
23,Slovenia,7,7,7,7,7
24,Slovakia,3,3,3,3,3
25,Finland,11,11,11,11,11
26,Sweden,10,10,10,10,10
27,United Kingdom,689,689,689,689,689
28,Iceland,0,0,0,0,0
29,Liechtenstein,0,0,0,0,0
30,Norway,3,3,3,3,3
31,Switzerland,10,10,10,10,10
