,Region,417,423,430,437,444
0,Belgium,181,181,181,181,181
1,Bulgaria,641,641,641,641,641
2,Czechia,1525,1525,1525,1525,1525
3,Denmark,13,13,13,13,13
4,Germany,1418,1418,1418,1418,1418
5,Estonia,66,66,66,66,66
6,Ireland,115,115,115,115,115
7,Greece,333,333,333,333,333
8,Spain,1120,1120,1120,1120,1120
9,France,1779,1779,1779,1779,1779
10,Croatia,85,85,85,85,85
11,Italy,2303,2303,2303,2303,2303
12,Cyprus,6,6,6,6,6
13,Latvia,70,70,70,70,70
14,Lithuania,68,68,68,68,68
15,Luxembourg,29,29,29,29,29
16,Hungary,1025,1025,1025,1025,1025
17,Malta,21,21,21,21,21
18,Netherlands,245,245,245,245,245
19,Austria,162,162,162,162,162
20,Poland,1909,1909,1909,1909,1909
21,Portugal,157,157,157,157,157
22,Romania,585,585,585,585,585
23,Slovenia,41,41,41,41,41
24,Slovakia,701,701,701,701,701
25,Finland,19,19,19,19,19
26,Sweden,143,143,143,143,143
27,United Kingdom,1047,1047,1047,1047,1047
28,Iceland,0,0,0,0,0
29,Liechtenstein,1,1,1,1,1
30,Norway,7,7,7,7,7
31,Switzerland,62,62,62,62,62
