,Region,453,458,465,472,479
0,Belgium,,188,172,156,138
1,Bulgaria,,460,369,279,202
2,Czechia,,377,251,166,108
3,Denmark,,13,14,11,9
4,Germany,,1756,1169,1016,851
5,Estonia,,22,22,17,12
6,Ireland,,43,35,30,26
7,Greece,,504,499,480,462
8,Spain,,498,237,219,224
9,France,,1845,1462,1200,978
10,Croatia,,277,300,347,404
11,Italy,,1890,1621,1435,1289
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,57,53,49,45
14,Lithuania,,97,96,102,108
15,Luxembourg,,NaN,NaN,NaN,NaN
16,Hungary,,850,618,461,348
17,Malta,,4,2,1,1
18,Netherlands,,183,173,161,148
19,Austria,,136,122,102,85
20,Poland,,1933,1526,1336,1155
21,Portugal,,55,55,52,49
22,Romania,,551,462,400,339
23,Slovenia,,32,29,27,25
24,Slovakia,,178,130,92,65
25,Finland,,6,9,7,6
26,Sweden,,118,59,38,25
27,United Kingdom,,166,138,109,85
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,12,9,7,6
31,Switzerland,,56,26,17,11
