,Region,439,444,451,458,465
0,Belgium,,263,246,253,269
1,Bulgaria,,827,872,962,1027
2,Czechia,,653,474,384,301
3,Denmark,,20,22,27,33
4,Germany,,1052,1147,1187,1242
5,Estonia,,42,35,32,29
6,Ireland,,85,76,72,70
7,Greece,,519,610,707,771
8,Spain,,1290,561,256,135
9,France,,3406,3860,4306,4941
10,Croatia,,259,375,535,758
11,Italy,,2506,2597,2669,2682
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,45,40,35,29
14,Lithuania,,112,142,147,148
15,Luxembourg,,NaN,NaN,NaN,NaN
16,Hungary,,1574,1615,1798,1913
17,Malta,,4,3,2,1
18,Netherlands,,251,265,270,278
19,Austria,,201,206,199,188
20,Poland,,3429,3975,4866,5864
21,Portugal,,80,56,49,41
22,Romania,,892,973,1076,1168
23,Slovenia,,67,70,67,62
24,Slovakia,,276,217,162,117
25,Finland,,32,27,25,23
26,Sweden,,118,57,45,35
27,United Kingdom,,457,340,268,216
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,27,31,35,39
31,Switzerland,,83,50,52,53
