,Region,446,451,458,465,472
0,Belgium,,217,206,197,192
1,Bulgaria,,625,545,522,485
2,Czechia,,571,458,330,238
3,Denmark,,19,18,18,15
4,Germany,,1873,1510,1437,1378
5,Estonia,,37,29,24,20
6,Ireland,,55,43,39,36
7,Greece,,493,526,533,532
8,Spain,,886,374,216,201
9,France,,903,2480,2405,2375
10,Croatia,,232,257,285,317
11,Italy,,1992,1853,1646,1452
12,Cyprus,,NaN,NaN,NaN,NaN
13,Latvia,,59,56,49,45
14,Lithuania,,114,128,139,158
15,Luxembourg,,NaN,NaN,NaN,NaN
16,Hungary,,1031,929,779,623
17,Malta,,3,3,2,1
18,Netherlands,,226,232,226,221
19,Austria,,168,148,129,111
20,Poland,,2425,2377,2266,2154
21,Portugal,,99,108,102,96
22,Romania,,759,737,732,718
23,Slovenia,,62,53,48,45
24,Slovakia,,260,185,126,85
25,Finland,,24,22,19,16
26,Sweden,,197,107,80,62
27,United Kingdom,,233,183,142,109
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,25,27,27,27
31,Switzerland,,125,69,66,64
