,State,677,682,689,696,703,710
0,Washington,NaN,98,81,69,56,45
1,Illinois,NaN,306,373,428,448,429
2,California,NaN,552,506,455,401,350
3,Arizona,NaN,307,312,309,297,279
4,Massachusetts,NaN,168,239,316,366,375
5,Wisconsin,NaN,122,109,93,77,61
6,Texas,NaN,392,307,238,183,139
7,Nebraska,NaN,105,116,117,107,91
8,Utah,NaN,64,60,55,49,45
9,Oregon,NaN,151,140,127,114,102
10,Florida,NaN,217,163,122,91,68
11,New York,NaN,292,298,303,300,292
12,Rhode Island,NaN,14,11,8,6,3
13,Georgia,NaN,270,229,194,163,138
14,New Hampshire,NaN,52,53,50,41,31
15,North Carolina,NaN,85,65,48,35,26
16,New Jersey,NaN,83,76,69,62,56
17,Colorado,NaN,262,261,250,234,215
18,Maryland,NaN,61,54,48,42,35
19,Nevada,NaN,65,57,50,43,36
20,Tennessee,NaN,85,68,54,43,33
21,Hawaii,NaN,16,14,12,10,9
22,Indiana,NaN,245,258,256,234,201
23,Kentucky,NaN,177,160,144,129,115
24,Minnesota,NaN,183,175,162,145,129
25,Oklahoma,NaN,270,244,218,194,173
26,Pennsylvania,NaN,599,598,562,505,440
27,South Carolina,NaN,55,40,29,21,15
28,District of Columbia,NaN,2,3,2,3,2
29,Kansas,NaN,92,88,83,79,73
30,Missouri,NaN,137,144,140,123,103
31,Vermont,NaN,13,13,12,13,12
32,Virginia,NaN,145,126,108,93,79
33,Connecticut,NaN,84,168,303,431,479
34,Iowa,NaN,135,144,146,142,132
35,Louisiana,NaN,39,31,25,18,15
36,Ohio,NaN,161,131,106,86,68
37,Michigan,NaN,508,497,464,412,351
38,South Dakota,NaN,24,22,21,17,15
39,Arkansas,NaN,51,42,35,29,23
40,Delaware,NaN,16,13,10,9,7
41,Mississippi,NaN,32,25,19,14,10
42,New Mexico,NaN,97,90,79,66,53
43,North Dakota,NaN,19,15,11,9,6
44,Wyoming,NaN,30,24,19,15,11
45,Alaska,NaN,34,30,26,24,20
46,Maine,NaN,36,33,31,29,26
47,Alabama,NaN,77,59,44,34,25
48,Idaho,NaN,51,39,30,22,16
49,Montana,NaN,41,33,25,19,14
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,103,93,77,60,46
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN
