,State,656,661,668,675,682,689,696
0,Washington,NaN,142,118,97,78,62,48
1,Illinois,NaN,130,109,89,72,57,44
2,California,NaN,683,676,661,635,598,550
3,Arizona,NaN,217,192,167,144,121,100
4,Massachusetts,NaN,78,70,64,57,49,43
5,Wisconsin,NaN,66,49,35,24,15,10
6,Texas,NaN,771,628,505,400,315,244
7,Nebraska,NaN,99,130,151,157,147,124
8,Utah,NaN,42,35,28,24,18,14
9,Oregon,NaN,114,100,84,69,54,42
10,Florida,NaN,491,375,286,216,163,121
11,New York,NaN,218,198,178,155,134,114
12,Rhode Island,NaN,6,4,4,3,2,2
13,Georgia,NaN,463,404,352,304,262,226
14,New Hampshire,NaN,21,20,19,16,14,13
15,North Carolina,NaN,202,164,130,101,79,60
16,New Jersey,NaN,93,81,67,57,45,37
17,Colorado,NaN,200,207,211,210,206,198
18,Maryland,NaN,76,66,56,48,40,32
19,Nevada,NaN,83,74,66,58,52,46
20,Tennessee,NaN,143,113,90,70,54,42
21,Hawaii,NaN,16,12,11,8,7,5
22,Indiana,NaN,150,123,97,77,59,46
23,Kentucky,NaN,126,112,99,86,76,66
24,Minnesota,NaN,130,119,104,89,74,59
25,Oklahoma,NaN,318,293,266,241,215,191
26,Pennsylvania,NaN,480,458,427,394,356,318
27,South Carolina,NaN,135,103,77,58,42,30
28,District of Columbia,NaN,2,2,2,2,1,1
29,Kansas,NaN,27,19,14,11,7,5
30,Missouri,NaN,110,97,82,69,57,47
31,Vermont,NaN,11,10,9,7,7,6
32,Virginia,NaN,211,187,162,139,118,99
33,Connecticut,NaN,41,37,35,31,28,25
34,Iowa,NaN,99,94,88,82,75,68
35,Louisiana,NaN,81,66,55,44,35,28
36,Ohio,NaN,128,96,72,53,38,28
37,Michigan,NaN,342,337,328,312,295,273
38,South Dakota,NaN,21,20,17,15,13,12
39,Arkansas,NaN,93,80,69,58,48,41
40,Delaware,NaN,21,19,15,13,11,9
41,Mississippi,NaN,40,28,20,14,9,6
42,New Mexico,NaN,76,73,64,54,42,33
43,North Dakota,NaN,32,29,27,25,22,19
44,Wyoming,NaN,49,46,42,38,34,30
45,Alaska,NaN,23,17,12,9,6,4
46,Maine,NaN,33,31,29,25,23,19
47,Alabama,NaN,132,100,76,58,43,33
48,Idaho,NaN,91,72,56,42,31,23
49,Montana,NaN,87,80,71,63,54,45
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,113,93,75,60,47,37
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
