,State,824,829,836,843,850,857,864
0,Washington,NaN,45,37,31,26,21,18
1,Illinois,NaN,29,22,17,12,10,8
2,California,NaN,299,257,221,191,164,142
3,Arizona,NaN,11,8,5,4,3,1
4,Massachusetts,NaN,34,27,21,17,13,11
5,Wisconsin,NaN,65,56,49,42,37,32
6,Texas,NaN,153,123,100,80,65,53
7,Nebraska,NaN,16,14,12,11,9,8
8,Utah,NaN,12,11,10,8,7,6
9,Oregon,NaN,46,41,35,31,26,23
10,Florida,NaN,270,234,204,178,154,134
11,New York,NaN,16,11,8,6,4,3
12,Rhode Island,NaN,4,4,2,2,2,2
13,Georgia,NaN,149,131,113,98,86,75
14,New Hampshire,NaN,6,4,3,3,3,2
15,North Carolina,NaN,31,24,18,14,10,8
16,New Jersey,NaN,53,44,33,26,19,14
17,Colorado,NaN,14,11,8,6,5,3
18,Maryland,NaN,13,13,13,12,11,10
19,Nevada,NaN,29,24,21,17,14,12
20,Tennessee,NaN,94,78,67,55,47,40
21,Hawaii,NaN,4,3,2,2,1,1
22,Indiana,NaN,21,16,12,9,6,6
23,Kentucky,NaN,59,51,45,39,34,29
24,Minnesota,NaN,12,8,7,5,4,3
25,Oklahoma,NaN,78,67,59,51,45,38
26,Pennsylvania,NaN,63,50,40,31,25,20
27,South Carolina,NaN,88,76,67,57,51,43
28,District of Columbia,NaN,0,0,0,0,0,0
29,Kansas,NaN,0,0,0,0,0,0
30,Missouri,NaN,68,57,49,40,34,29
31,Vermont,NaN,3,3,2,2,2,1
32,Virginia,NaN,128,118,108,98,87,77
33,Connecticut,NaN,12,9,7,5,5,3
34,Iowa,NaN,18,15,12,10,8,6
35,Louisiana,NaN,41,33,29,24,20,17
36,Ohio,NaN,6,4,2,2,1,1
37,Michigan,NaN,42,32,24,19,14,10
38,South Dakota,NaN,5,4,3,2,2,2
39,Arkansas,NaN,53,45,40,34,31,26
40,Delaware,NaN,11,10,8,8,6,6
41,Mississippi,NaN,13,9,7,5,4,3
42,New Mexico,NaN,29,26,22,20,16,15
43,North Dakota,NaN,0,0,0,1,0,0
44,Wyoming,NaN,3,3,3,2,2,2
45,Alaska,NaN,0,0,0,0,0,0
46,Maine,NaN,4,3,1,1,1,0
47,Alabama,NaN,82,72,62,54,47,41
48,Idaho,NaN,4,4,2,2,1,1
49,Montana,NaN,4,3,2,2,1,1
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,37,32,28,25,21,19
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
