,State,544,549,556,563,570,577,584
0,Washington,NaN,30,27,23,22,18,17
1,Illinois,NaN,34,26,20,15,12,9
2,California,NaN,271,310,356,407,462,515
3,Arizona,NaN,71,71,71,70,69,67
4,Massachusetts,NaN,10,8,7,6,4,4
5,Wisconsin,NaN,30,26,22,20,17,14
6,Texas,NaN,161,154,147,140,134,127
7,Nebraska,NaN,1,1,0,1,0,0
8,Utah,NaN,19,19,18,18,17,16
9,Oregon,NaN,11,8,7,6,4,4
10,Florida,NaN,318,438,563,649,669,631
11,New York,NaN,29,23,18,14,12,9
12,Rhode Island,NaN,1,2,2,1,1,1
13,Georgia,NaN,64,58,52,45,41,35
14,New Hampshire,NaN,2,1,1,0,1,0
15,North Carolina,NaN,36,31,27,24,19,17
16,New Jersey,NaN,30,26,23,22,20,20
17,Colorado,NaN,32,29,26,23,20,17
18,Maryland,NaN,45,40,34,29,26,23
19,Nevada,NaN,20,19,19,17,16,13
20,Tennessee,NaN,12,11,9,7,6,5
21,Hawaii,NaN,4,6,13,27,48,68
22,Indiana,NaN,31,29,25,22,20,17
23,Kentucky,NaN,1,0,0,1,0,0
24,Minnesota,NaN,15,13,10,9,7,6
25,Oklahoma,NaN,1,1,0,0,0,0
26,Pennsylvania,NaN,30,22,18,13,9,8
27,South Carolina,NaN,8,7,4,4,3,2
28,District of Columbia,NaN,3,2,3,2,2,1
29,Kansas,NaN,15,12,10,7,6,4
30,Missouri,NaN,104,128,152,173,188,195
31,Vermont,NaN,0,0,0,0,0,0
32,Virginia,NaN,11,8,6,4,3,2
33,Connecticut,NaN,8,6,6,5,5,3
34,Iowa,NaN,9,7,7,6,5,4
35,Louisiana,NaN,70,81,80,74,65,55
36,Ohio,NaN,10,7,5,3,3,1
37,Michigan,NaN,40,32,24,18,13,10
38,South Dakota,NaN,3,3,2,2,1,2
39,Arkansas,NaN,73,115,169,218,240,225
40,Delaware,NaN,1,0,1,0,0,0
41,Mississippi,NaN,46,84,165,288,422,512
42,New Mexico,NaN,7,5,4,3,2,2
43,North Dakota,NaN,1,1,1,0,1,0
44,Wyoming,NaN,6,6,7,6,5,6
45,Alaska,NaN,1,0,0,0,0,0
46,Maine,NaN,4,3,3,2,2,2
47,Alabama,NaN,30,27,23,21,18,15
48,Idaho,NaN,7,7,6,5,5,4
49,Montana,NaN,7,5,4,2,2,1
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,0,1,0,1,0,0
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
