,State,565,570,577,584,591,598,605
0,Washington,NaN,57,72,90,115,142,169
1,Illinois,NaN,74,103,142,187,225,247
2,California,NaN,374,464,549,613,649,654
3,Arizona,NaN,126,152,185,219,256,288
4,Massachusetts,NaN,14,12,12,11,10,8
5,Wisconsin,NaN,41,40,40,38,38,36
6,Texas,NaN,396,500,614,732,838,918
7,Nebraska,NaN,7,8,8,6,5,3
8,Utah,NaN,38,41,44,44,42,37
9,Oregon,NaN,49,70,96,118,132,134
10,Florida,NaN,677,834,963,1046,1075,1057
11,New York,NaN,71,92,123,162,210,263
12,Rhode Island,NaN,2,2,2,2,3,2
13,Georgia,NaN,79,94,114,135,153,165
14,New Hampshire,NaN,2,2,4,6,9,12
15,North Carolina,NaN,141,173,189,185,171,150
16,New Jersey,NaN,54,75,106,143,182,213
17,Colorado,NaN,26,26,27,28,30,30
18,Maryland,NaN,0,0,0,0,0,0
19,Nevada,NaN,89,98,104,108,108,104
20,Tennessee,NaN,140,201,273,345,402,435
21,Hawaii,NaN,11,14,19,22,25,26
22,Indiana,NaN,53,69,94,122,154,180
23,Kentucky,NaN,81,88,79,62,42,28
24,Minnesota,NaN,34,54,79,107,131,142
25,Oklahoma,NaN,55,68,84,95,103,105
26,Pennsylvania,NaN,59,75,86,87,78,64
27,South Carolina,NaN,70,105,145,184,216,234
28,District of Columbia,NaN,2,3,5,5,8,9
29,Kansas,NaN,80,85,79,67,52,38
30,Missouri,NaN,185,215,241,263,276,282
31,Vermont,NaN,1,3,4,6,7,7
32,Virginia,NaN,28,32,36,38,38,34
33,Connecticut,NaN,10,12,14,13,12,10
34,Iowa,NaN,11,12,17,24,30,37
35,Louisiana,NaN,205,221,213,184,145,105
36,Ohio,NaN,26,34,49,69,90,110
37,Michigan,NaN,27,35,52,82,123,164
38,South Dakota,NaN,1,1,1,1,0,1
39,Arkansas,NaN,175,215,252,278,292,294
40,Delaware,NaN,129,199,293,402,507,586
41,Mississippi,NaN,110,142,168,184,186,173
42,New Mexico,NaN,20,20,20,20,19,19
43,North Dakota,NaN,3,3,3,3,3,3
44,Wyoming,NaN,15,18,24,29,31,32
45,Alaska,NaN,12,17,23,26,28,28
46,Maine,NaN,8,8,8,8,7,6
47,Alabama,NaN,96,126,157,187,209,223
48,Idaho,NaN,32,51,83,124,161,184
49,Montana,NaN,20,28,38,49,62,72
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,25,39,57,76,91,95
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
