,Region,705,710,717,724,731
0,Belgium,,210,119,65,26
1,Bulgaria,,440,406,379,354
2,Czechia,,388,212,83,13
3,Denmark,,91,85,86,73
4,Germany,,1849,1390,895,458
5,Estonia,,25,30,33,34
6,Ireland,,53,75,85,93
7,Greece,,507,501,502,510
8,Spain,,373,545,791,1071
9,France,,1552,1767,2099,2450
10,Croatia,,311,279,245,215
11,Italy,,1335,1970,3024,4741
12,Cyprus,,15,18,19,19
13,Latvia,,70,86,88,93
14,Lithuania,,159,145,136,131
15,Luxembourg,,12,12,11,11
16,Hungary,,477,190,17,0
17,Malta,,6,6,7,7
18,Netherlands,,217,155,94,52
19,Austria,,139,99,70,49
20,Poland,,2385,1639,845,195
21,Portugal,,158,234,337,470
22,Romania,,318,270,249,251
23,Slovenia,,57,51,54,55
24,Slovakia,,370,248,148,62
25,Finland,,49,66,68,79
26,Sweden,,60,78,95,107
27,United Kingdom,,772,941,1151,1351
28,Iceland,,0,1,3,2
29,Liechtenstein,,0,0,0,0
30,Norway,,55,41,34,27
31,Switzerland,,147,127,108,90
