,Region,698,703,710,717,724
0,Belgium,,338,279,204,135
1,Bulgaria,,508,447,408,369
2,Czechia,,463,187,2,0
3,Denmark,,90,116,159,207
4,Germany,,2672,2487,2193,1799
5,Estonia,,21,24,25,24
6,Ireland,,61,61,67,69
7,Greece,,639,610,569,527
8,Spain,,247,349,504,689
9,France,,1216,1271,1192,1006
10,Croatia,,349,324,300,276
11,Italy,,961,1267,1649,2130
12,Cyprus,,14,16,17,16
13,Latvia,,78,80,100,113
14,Lithuania,,145,145,144,142
15,Luxembourg,,12,12,11,11
16,Hungary,,772,462,177,14
17,Malta,,1,5,6,6
18,Netherlands,,299,215,135,67
19,Austria,,259,191,136,90
20,Poland,,2711,2204,1417,617
21,Portugal,,125,128,127,120
22,Romania,,554,507,488,493
23,Slovenia,,71,61,53,49
24,Slovakia,,582,475,331,176
25,Finland,,67,59,78,83
26,Sweden,,44,54,56,56
27,United Kingdom,,908,1131,1365,1537
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,1,1,1,0
30,Norway,,71,80,82,85
31,Switzerland,,186,179,179,168
