,Region,691,696,703,710,717
0,Belgium,,340,295,228,152
1,Bulgaria,,583,502,429,373
2,Czechia,,670,360,62,0
3,Denmark,,103,120,168,210
4,Germany,,2805,2888,2823,2646
5,Estonia,,23,21,19,16
6,Ireland,,85,86,85,86
7,Greece,,669,657,616,562
8,Spain,,226,294,363,398
9,France,,1008,1137,1126,959
10,Croatia,,393,351,307,263
11,Italy,,757,866,938,950
12,Cyprus,,16,15,18,17
13,Latvia,,97,81,74,65
14,Lithuania,,120,111,102,92
15,Luxembourg,,14,14,14,14
16,Hungary,,811,240,0,0
17,Malta,,6,4,4,4
18,Netherlands,,454,448,420,385
19,Austria,,404,292,192,91
20,Poland,,3238,3030,2712,2094
21,Portugal,,143,151,152,146
22,Romania,,407,349,309,287
23,Slovenia,,84,67,53,42
24,Slovakia,,496,359,166,13
25,Finland,,69,79,88,98
26,Sweden,,32,48,57,62
27,United Kingdom,,921,1023,1104,1148
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,1,0,0,0
30,Norway,,63,73,84,91
31,Switzerland,,194,227,255,280
