,State,284,290,297,304,311,318
0,Washington,108315,5629,6132,6674,7256,7880
1,Illinois,423527,53792,70735,92210,118847,150946
2,California,935878,27626,28616,29615,30623,31635
3,Arizona,247473,9498,11360,13558,16139,19152
4,Massachusetts,159707,10742,13575,17108,21484,26857
5,Wisconsin,241422,45459,54145,63630,73600,83580
6,Texas,945828,50740,57597,65207,73604,82802
7,Nebraska,71666,9216,11014,13057,15330,17796
8,Utah,116510,11874,12941,14031,15127,16209
9,Oregon,45429,3435,3844,4298,4799,5351
10,Florida,807412,32735,38176,44412,51522,59573
11,New York,509735,17211,20404,24153,28544,33663
12,Rhode Island,32874,3668,4767,6152,7870,9953
13,Georgia,361982,12323,13798,15423,17207,19156
14,New Hampshire,11214,999,1214,1475,1788,2165
15,North Carolina,276692,18430,20443,22620,24960,27458
16,New Jersey,239629,13418,16923,21285,26676,33286
17,Colorado,109910,14780,18663,23454,29302,36337
18,Maryland,146145,6437,7330,8332,9455,10707
19,Nevada,101477,7373,8736,10310,12111,14149
20,Tennessee,261426,21731,24888,28364,32143,36193
21,Hawaii,15367,528,503,478,455,432
22,Indiana,182108,24898,31774,40265,50571,62805
23,Kentucky,108642,11773,13354,15088,16971,18994
24,Minnesota,150672,18297,22294,27012,32506,38798
25,Oklahoma,124111,9494,9912,10316,10702,11066
26,Pennsylvania,214416,18291,22171,26809,32323,38836
27,South Carolina,178023,6374,6367,6350,6324,6289
28,District of Columbia,17369,560,622,691,767,850
29,Kansas,90290,5227,5372,5508,5636,5753
30,Missouri,188325,16459,17968,19542,21167,22828
31,Vermont,2196,176,227,293,377,485
32,Virginia,182392,8847,9502,10192,10917,11674
33,Connecticut,71207,5943,7667,9858,12624,16081
34,Iowa,130974,9743,10417,11091,11756,12402
35,Louisiana,187720,3904,3944,3981,4014,4043
36,Ohio,219000,25867,32909,41694,52550,65796
37,Michigan,197406,29557,40657,55564,75266,100735
38,South Dakota,47324,9150,11134,13295,15515,17628
39,Arkansas,113057,7351,7661,7960,8244,8509
40,Delaware,25126,1132,1199,1268,1339,1412
41,Mississippi,120500,6255,6816,7406,8020,8656
42,New Mexico,47232,8090,10778,14246,18631,24031
43,North Dakota,45043,8722,10713,12877,15078,17115
44,Wyoming,13723,3152,3998,5019,6219,7585
45,Alaska,16705,3069,3868,4838,5993,7334
46,Maine,6711,302,321,341,363,386
47,Alabama,194458,10965,11956,12996,14078,15193
48,Idaho,65088,8953,10837,13003,15438,18101
49,Montana,33495,6926,8088,9347,10671,12014
50,Puerto Rico,34541,5695,6565,7563,8706,10013
51,Virgin Islands,1376,NaN,NaN,NaN,NaN,NaN
52,Guam,4628,NaN,NaN,NaN,NaN,NaN
53,West Virginia,24883,3093,3723,4469,5345,6367
54,Northern Mariana Islands,96,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
