,State,599,605,612,619,626,633
0,Washington,NaN,24365,23325,21553,19208,16507
1,Illinois,NaN,27526,25126,21874,18215,14560
2,California,NaN,49105,37107,27339,19649,13789
3,Arizona,NaN,20717,19442,17726,15714,13558
4,Massachusetts,NaN,12592,12624,12259,11523,10482
5,Wisconsin,NaN,14907,14996,14587,13714,12466
6,Texas,NaN,112399,100158,85708,70671,56355
7,Nebraska,NaN,5692,5737,5615,5339,4936
8,Utah,NaN,9501,9323,8888,8237,7428
9,Oregon,NaN,13466,12308,10928,9428,7909
10,Florida,NaN,72680,51727,35247,23103,14617
11,New York,NaN,33485,32694,31268,29273,26817
12,Rhode Island,NaN,1777,1559,1307,1046,797
13,Georgia,NaN,42874,34893,27515,21041,15637
14,New Hampshire,NaN,2824,3077,3274,3398,3436
15,North Carolina,NaN,41604,37315,32375,27193,22135
16,New Jersey,NaN,14295,13868,13163,12214,11075
17,Colorado,NaN,11414,10867,10127,9233,8241
18,Maryland,NaN,6134,5211,4359,3584,2901
19,Nevada,NaN,6603,5926,5193,4448,3729
20,Tennessee,NaN,59759,58586,54039,46948,38548
21,Hawaii,NaN,4158,3587,2997,2428,1907
22,Indiana,NaN,31174,31441,30767,29216,26943
23,Kentucky,NaN,27818,25524,22407,18838,15186
24,Minnesota,NaN,11491,11362,11017,10480,9782
25,Oklahoma,NaN,18121,17166,15718,13914,11917
26,Pennsylvania,NaN,31727,34372,35835,35879,34455
27,South Carolina,NaN,33345,30554,26780,22497,18158
28,District of Columbia,NaN,1039,967,877,776,670
29,Kansas,NaN,11252,11106,10629,9866,8887
30,Missouri,NaN,11668,9833,8122,6591,5265
31,Vermont,NaN,1183,1240,1272,1275,1248
32,Virginia,NaN,29270,31434,32649,32736,31646
33,Connecticut,NaN,2912,2268,1721,1274,919
34,Iowa,NaN,6148,5328,4551,3828,3176
35,Louisiana,NaN,8429,5538,3585,2291,1447
36,Ohio,NaN,58921,68942,76599,80329,79216
37,Michigan,NaN,20015,21685,22988,23818,24104
38,South Dakota,NaN,4207,4840,5328,5587,5561
39,Arkansas,NaN,10151,8372,6714,5247,4005
40,Delaware,NaN,2565,2405,2203,1973,1728
41,Mississippi,NaN,12040,9290,6974,5110,3663
42,New Mexico,NaN,4769,4185,3534,2875,2257
43,North Dakota,NaN,4270,5284,6245,6988,7348
44,Wyoming,NaN,4300,4394,4216,3796,3216
45,Alaska,NaN,4765,4811,4636,4260,3735
46,Maine,NaN,3813,4780,5773,6671,7336
47,Alabama,NaN,24154,21295,18074,14800,11721
48,Idaho,NaN,8805,9629,10226,10522,10472
49,Montana,NaN,5492,6313,7029,7551,7803
50,Puerto Rico,NaN,2995,2228,1571,1049,662
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,12485,13358,13901,14040,13764
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN
