,State,753,759
0,Washington,1410596,18884
1,Illinois,2987502,20981
2,California,8809229,80836
3,Arizona,1950483,14227
4,Massachusetts,1648656,8595
5,Wisconsin,1553551,8254
6,Texas,6517733,62830
7,Nebraska,450661,1836
8,Utah,910900,4736
9,Oregon,674500,10516
10,Florida,5776333,131079
11,New York,4886180,18581
12,Rhode Island,351844,2005
13,Georgia,2434131,12389
14,New Hampshire,288191,4281
15,North Carolina,2525734,26405
16,New Jersey,2145147,10208
17,Colorado,1288600,8370
18,Maryland,970307,2556
19,Nevada,673322,2054
20,Tennessee,1965983,16938
21,Hawaii,231510,2866
22,Indiana,1664353,3696
23,Kentucky,1232297,26123
24,Minnesota,1388401,1877
25,Oklahoma,1006846,2549
26,Pennsylvania,2724802,20295
27,South Carolina,1431067,12869
28,District of Columbia,132820,1081
29,Kansas,749850,715
30,Missouri,1379156,12398
31,Vermont,108969,1182
32,Virginia,1602677,18368
33,Connecticut,712884,3469
34,Iowa,739566,3970
35,Louisiana,1149234,7514
36,Ohio,2632336,9402
37,Michigan,2324854,7650
38,South Dakota,232725,898
39,Arkansas,806877,7351
40,Delaware,253534,1217
41,Mississippi,776717,5750
42,New Mexico,500516,5298
43,North Dakota,234875,2561
44,Wyoming,152581,1246
45,Alaska,232102,3337
46,Maine,187697,4491
47,Alabama,1263072,14262
48,Idaho,403137,10138
49,Montana,256630,3707
50,Puerto Rico,469285,2188
51,Virgin Islands,15182,296
52,Guam,39985,4562
53,West Virginia,476060,8786
54,Northern Mariana Islands,7530,1449
55,American Samoa,18,0
