,State,606,612
0,Washington,NaN,22950
1,Illinois,NaN,25938
2,California,NaN,56003
3,Arizona,NaN,16946
4,Massachusetts,NaN,15843
5,Wisconsin,NaN,16576
6,Texas,NaN,74498
7,Nebraska,NaN,7066
8,Utah,NaN,12772
9,Oregon,NaN,11214
10,Florida,NaN,48858
11,New York,NaN,38155
12,Rhode Island,NaN,3317
13,Georgia,NaN,28971
14,New Hampshire,NaN,4260
15,North Carolina,NaN,61042
16,New Jersey,NaN,15212
17,Colorado,NaN,14189
18,Maryland,NaN,8240
19,Nevada,NaN,8109
20,Tennessee,NaN,62826
21,Hawaii,NaN,3412
22,Indiana,NaN,26579
23,Kentucky,NaN,28574
24,Minnesota,NaN,17327
25,Oklahoma,NaN,14857
26,Pennsylvania,NaN,33252
27,South Carolina,NaN,37224
28,District of Columbia,NaN,2384
29,Kansas,NaN,10334
30,Missouri,NaN,15900
31,Vermont,NaN,1525
32,Virginia,NaN,27454
33,Connecticut,NaN,5747
34,Iowa,NaN,15182
35,Louisiana,NaN,12769
36,Ohio,NaN,53043
37,Michigan,NaN,25117
38,South Dakota,NaN,3667
39,Arkansas,NaN,8257
40,Delaware,NaN,3124
41,Mississippi,NaN,8741
42,New Mexico,NaN,4103
43,North Dakota,NaN,3234
44,Wyoming,NaN,3937
45,Alaska,NaN,6529
46,Maine,NaN,3771
47,Alabama,NaN,16349
48,Idaho,NaN,7748
49,Montana,NaN,7056
50,Puerto Rico,NaN,1401
51,Virgin Islands,NaN,315
52,Guam,NaN,1176
53,West Virginia,NaN,15614
54,Northern Mariana Islands,NaN,9
55,American Samoa,NaN,0
