,State,739,745
0,Washington,1294497,158082
1,Illinois,2897174,63971
2,California,8384039,574101
3,Arizona,1858385,111078
4,Massachusetts,1598451,30877
5,Wisconsin,1503420,18805
6,Texas,6224480,269151
7,Nebraska,435358,19435
8,Utah,875251,33286
9,Oregon,620652,49946
10,Florida,5522206,116651
11,New York,4797903,50755
12,Rhode Island,341407,5694
13,Georgia,2346518,130553
14,New Hampshire,272492,8920
15,North Carolina,2374866,135920
16,New Jersey,2109783,24715
17,Colorado,1240361,29089
18,Maryland,954212,8278
19,Nevada,648088,31879
20,Tennessee,1771783,130986
21,Hawaii,217775,7221
22,Indiana,1604072,79719
23,Kentucky,1140887,85872
24,Minnesota,1309665,117556
25,Oklahoma,963655,56746
26,Pennsylvania,2656587,69926
27,South Carolina,1355116,73158
28,District of Columbia,129817,604
29,Kansas,723110,50085
30,Missouri,1330584,44099
31,Vermont,104160,2938
32,Virginia,1525603,47892
33,Connecticut,696070,17095
34,Iowa,712288,23273
35,Louisiana,1105273,21579
36,Ohio,2576245,26402
37,Michigan,2235180,126507
38,South Dakota,225383,3066
39,Arkansas,768061,37334
40,Delaware,247638,4940
41,Mississippi,717666,27562
42,New Mexico,470513,33458
43,North Dakota,223362,8337
44,Wyoming,144526,9356
45,Alaska,212396,16483
46,Maine,174225,7583
47,Alabama,1212798,180150
48,Idaho,377721,23920
49,Montana,238801,22579
50,Puerto Rico,457057,6069
51,Virgin Islands,14846,347
52,Guam,31804,4886
53,West Virginia,445061,30277
54,Northern Mariana Islands,4864,703
55,American Samoa,18,0
