,State,809,815
0,Washington,NaN,9523
1,Illinois,NaN,11662
2,California,NaN,20742
3,Arizona,NaN,4052
4,Massachusetts,NaN,10684
5,Wisconsin,NaN,4288
6,Texas,NaN,26900
7,Nebraska,NaN,1141
8,Utah,NaN,633
9,Oregon,NaN,2547
10,Florida,NaN,9479
11,New York,NaN,35297
12,Rhode Island,NaN,2328
13,Georgia,NaN,4756
14,New Hampshire,NaN,1083
15,North Carolina,NaN,4573
16,New Jersey,NaN,13482
17,Colorado,NaN,8915
18,Maryland,NaN,3392
19,Nevada,NaN,1323
20,Tennessee,NaN,1490
21,Hawaii,NaN,1227
22,Indiana,NaN,1033
23,Kentucky,NaN,4296
24,Minnesota,NaN,2911
25,Oklahoma,NaN,1713
26,Pennsylvania,NaN,7208
27,South Carolina,NaN,2089
28,District of Columbia,NaN,1184
29,Kansas,NaN,323
30,Missouri,NaN,651
31,Vermont,NaN,1336
32,Virginia,NaN,6294
33,Connecticut,NaN,4141
34,Iowa,NaN,579
35,Louisiana,NaN,767
36,Ohio,NaN,4439
37,Michigan,NaN,6232
38,South Dakota,NaN,128
39,Arkansas,NaN,623
40,Delaware,NaN,511
41,Mississippi,NaN,1328
42,New Mexico,NaN,1187
43,North Dakota,NaN,207
44,Wyoming,NaN,94
45,Alaska,NaN,2158
46,Maine,NaN,1478
47,Alabama,NaN,1629
48,Idaho,NaN,213
49,Montana,NaN,328
50,Puerto Rico,NaN,4681
51,Virgin Islands,NaN,121
52,Guam,NaN,182
53,West Virginia,NaN,478
54,Northern Mariana Islands,NaN,2
55,American Samoa,NaN,2101
