,State,641,647
0,Washington,NaN,14442
1,Illinois,NaN,14248
2,California,NaN,38438
3,Arizona,NaN,16499
4,Massachusetts,NaN,7478
5,Wisconsin,NaN,12841
6,Texas,NaN,23695
7,Nebraska,NaN,3559
8,Utah,NaN,9653
9,Oregon,NaN,8354
10,Florida,NaN,21008
11,New York,NaN,26358
12,Rhode Island,NaN,1548
13,Georgia,NaN,6252
14,New Hampshire,NaN,4027
15,North Carolina,NaN,11715
16,New Jersey,NaN,6600
17,Colorado,NaN,18129
18,Maryland,NaN,5009
19,Nevada,NaN,4296
20,Tennessee,NaN,6570
21,Hawaii,NaN,911
22,Indiana,NaN,8752
23,Kentucky,NaN,7249
24,Minnesota,NaN,18106
25,Oklahoma,NaN,5410
26,Pennsylvania,NaN,23286
27,South Carolina,NaN,4491
28,District of Columbia,NaN,449
29,Kansas,NaN,5050
30,Missouri,NaN,6000
31,Vermont,NaN,1496
32,Virginia,NaN,9035
33,Connecticut,NaN,3139
34,Iowa,NaN,4383
35,Louisiana,NaN,3211
36,Ohio,NaN,20467
37,Michigan,NaN,25071
38,South Dakota,NaN,3025
39,Arkansas,NaN,2901
40,Delaware,NaN,1760
41,Mississippi,NaN,2552
42,New Mexico,NaN,5259
43,North Dakota,NaN,2958
44,Wyoming,NaN,3203
45,Alaska,NaN,3945
46,Maine,NaN,3404
47,Alabama,NaN,6240
48,Idaho,NaN,8146
49,Montana,NaN,4874
50,Puerto Rico,NaN,908
51,Virgin Islands,NaN,20
52,Guam,NaN,556
53,West Virginia,NaN,5243
54,Northern Mariana Islands,NaN,0
55,American Samoa,NaN,0
