,State,747,752,759
0,Washington,NaN,45943,23373
1,Illinois,NaN,25993,8146
2,California,NaN,166055,100724
3,Arizona,NaN,31762,19041
4,Massachusetts,NaN,20888,19743
5,Wisconsin,NaN,41194,53208
6,Texas,NaN,141924,116449
7,Nebraska,NaN,10859,8985
8,Utah,NaN,10668,10096
9,Oregon,NaN,29122,22882
10,Florida,NaN,79935,37362
11,New York,NaN,34758,36455
12,Rhode Island,NaN,6340,8707
13,Georgia,NaN,30673,8828
14,New Hampshire,NaN,9173,11920
15,North Carolina,NaN,73333,67042
16,New Jersey,NaN,12215,4728
17,Colorado,NaN,10425,9317
18,Maryland,NaN,8906,10555
19,Nevada,NaN,1982,54
20,Tennessee,NaN,189208,216588
21,Hawaii,NaN,7083,5526
22,Indiana,NaN,29477,29598
23,Kentucky,NaN,49188,50353
24,Minnesota,NaN,41554,28321
25,Oklahoma,NaN,12008,4179
26,Pennsylvania,NaN,29629,24454
27,South Carolina,NaN,28012,17692
28,District of Columbia,NaN,2136,4039
29,Kansas,NaN,16883,16082
30,Missouri,NaN,23202,22936
31,Vermont,NaN,2992,3967
32,Virginia,NaN,36452,34293
33,Connecticut,NaN,5907,4415
34,Iowa,NaN,14766,13940
35,Louisiana,NaN,14591,4830
36,Ohio,NaN,19190,15733
37,Michigan,NaN,49992,39935
38,South Dakota,NaN,4648,6301
39,Arkansas,NaN,25981,28830
40,Delaware,NaN,2963,2603
41,Mississippi,NaN,29132,23242
42,New Mexico,NaN,11712,10011
43,North Dakota,NaN,4734,3469
44,Wyoming,NaN,3948,3111
45,Alaska,NaN,10529,10018
46,Maine,NaN,7226,6951
47,Alabama,NaN,33671,9065
48,Idaho,NaN,10153,8606
49,Montana,NaN,12137,8811
50,Puerto Rico,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,20321,19113
54,Northern Mariana Islands,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN
