,State,712,717,724
0,Washington,NaN,32567,41203
1,Illinois,NaN,139536,162934
2,California,NaN,278933,358006
3,Arizona,NaN,36108,36523
4,Massachusetts,NaN,107551,121806
5,Wisconsin,NaN,36789,37331
6,Texas,NaN,107050,113304
7,Nebraska,NaN,5785,4908
8,Utah,NaN,15791,16451
9,Oregon,NaN,9365,9496
10,Florida,NaN,484187,611571
11,New York,NaN,689620,702185
12,Rhode Island,NaN,15946,17652
13,Georgia,NaN,174225,227936
14,New Hampshire,NaN,8984,9187
15,North Carolina,NaN,55299,66386
16,New Jersey,NaN,235870,287343
17,Colorado,NaN,58629,64406
18,Maryland,NaN,84433,150064
19,Nevada,NaN,9887,10587
20,Tennessee,NaN,55382,63099
21,Hawaii,NaN,19441,28554
22,Indiana,NaN,52864,37900
23,Kentucky,NaN,18052,19106
24,Minnesota,NaN,28430,28008
25,Oklahoma,NaN,13975,14056
26,Pennsylvania,NaN,132450,147026
27,South Carolina,NaN,38907,44660
28,District of Columbia,NaN,22433,32110
29,Kansas,NaN,13689,13639
30,Missouri,NaN,31200,35311
31,Vermont,NaN,4109,4107
32,Virginia,NaN,94990,131824
33,Connecticut,NaN,37476,40781
34,Iowa,NaN,9866,11291
35,Louisiana,NaN,47437,53685
36,Ohio,NaN,130733,148555
37,Michigan,NaN,39782,53562
38,South Dakota,NaN,3507,4066
39,Arkansas,NaN,20268,18411
40,Delaware,NaN,13706,16532
41,Mississippi,NaN,21593,24193
42,New Mexico,NaN,6820,5848
43,North Dakota,NaN,3190,3587
44,Wyoming,NaN,1104,1238
45,Alaska,NaN,1590,1849
46,Maine,NaN,4739,4629
47,Alabama,NaN,28027,34299
48,Idaho,NaN,3637,3503
49,Montana,NaN,1844,1805
50,Puerto Rico,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,8747,10828
54,Northern Mariana Islands,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN
