,State,733,738,745
0,Washington,NaN,110028,108797
1,Illinois,NaN,143412,145807
2,California,NaN,563482,389392
3,Arizona,NaN,235460,314909
4,Massachusetts,NaN,83510,75949
5,Wisconsin,NaN,189153,233458
6,Texas,NaN,390579,323258
7,Nebraska,NaN,28543,28388
8,Utah,NaN,72993,68523
9,Oregon,NaN,45543,39610
10,Florida,NaN,144349,52376
11,New York,NaN,125518,121769
12,Rhode Island,NaN,22468,22324
13,Georgia,NaN,154543,98648
14,New Hampshire,NaN,22423,25965
15,North Carolina,NaN,303096,348340
16,New Jersey,NaN,25727,7078
17,Colorado,NaN,94436,69114
18,Maryland,NaN,30671,36497
19,Nevada,NaN,84436,102978
20,Tennessee,NaN,132126,150181
21,Hawaii,NaN,40283,48104
22,Indiana,NaN,137186,178564
23,Kentucky,NaN,101130,97057
24,Minnesota,NaN,79503,74509
25,Oklahoma,NaN,78976,70556
26,Pennsylvania,NaN,103910,96056
27,South Carolina,NaN,103880,85969
28,District of Columbia,NaN,1422,268
29,Kansas,NaN,55137,63688
30,Missouri,NaN,81557,80280
31,Vermont,NaN,13242,15780
32,Virginia,NaN,65841,40258
33,Connecticut,NaN,29010,35534
34,Iowa,NaN,36419,36189
35,Louisiana,NaN,39301,28444
36,Ohio,NaN,113469,100545
37,Michigan,NaN,124286,158259
38,South Dakota,NaN,13308,13037
39,Arkansas,NaN,49788,40131
40,Delaware,NaN,9978,7591
41,Mississippi,NaN,39529,30643
42,New Mexico,NaN,45044,48656
43,North Dakota,NaN,17939,19075
44,Wyoming,NaN,10310,11063
45,Alaska,NaN,18575,19394
46,Maine,NaN,5737,6143
47,Alabama,NaN,114332,130494
48,Idaho,NaN,19842,22066
49,Montana,NaN,9546,8744
50,Puerto Rico,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,38096,34954
54,Northern Mariana Islands,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN
