,State,726,731,738
0,Washington,NaN,141838,163908
1,Illinois,NaN,259421,343508
2,California,NaN,1175612,1579894
3,Arizona,NaN,116935,122499
4,Massachusetts,NaN,159453,199283
5,Wisconsin,NaN,144688,181928
6,Texas,NaN,554471,566170
7,Nebraska,NaN,23121,23110
8,Utah,NaN,68714,59008
9,Oregon,NaN,67194,59955
10,Florida,NaN,313125,198408
11,New York,NaN,253362,192717
12,Rhode Island,NaN,33787,43353
13,Georgia,NaN,202124,222145
14,New Hampshire,NaN,23890,24970
15,North Carolina,NaN,238121,337321
16,New Jersey,NaN,80089,36919
17,Colorado,NaN,171096,214628
18,Maryland,NaN,51566,44173
19,Nevada,NaN,51800,59022
20,Tennessee,NaN,88311,97839
21,Hawaii,NaN,34877,43182
22,Indiana,NaN,88751,118156
23,Kentucky,NaN,50493,49792
24,Minnesota,NaN,92238,102193
25,Oklahoma,NaN,117138,151636
26,Pennsylvania,NaN,190916,198623
27,South Carolina,NaN,119735,117901
28,District of Columbia,NaN,10011,9062
29,Kansas,NaN,55864,50365
30,Missouri,NaN,55112,43164
31,Vermont,NaN,6650,6715
32,Virginia,NaN,151648,164577
33,Connecticut,NaN,73093,88507
34,Iowa,NaN,38192,38041
35,Louisiana,NaN,77726,60874
36,Ohio,NaN,231784,279920
37,Michigan,NaN,126514,90637
38,South Dakota,NaN,16621,15963
39,Arkansas,NaN,78800,93110
40,Delaware,NaN,28596,35186
41,Mississippi,NaN,44055,35647
42,New Mexico,NaN,31055,30995
43,North Dakota,NaN,17400,20378
44,Wyoming,NaN,8050,8816
45,Alaska,NaN,16269,17773
46,Maine,NaN,7556,7703
47,Alabama,NaN,45472,42961
48,Idaho,NaN,15158,16316
49,Montana,NaN,11420,12197
50,Puerto Rico,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,23011,24284
54,Northern Mariana Islands,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN
