,State,740,745,752
0,Washington,1339737,158908,171654
1,Illinois,2920971,119687,112005
2,California,8427782,358859,193606
3,Arizona,1870644,115532,88908
4,Massachusetts,1611594,37548,30812
5,Wisconsin,1516628,56423,57495
6,Texas,6258336,220651,174855
7,Nebraska,439326,21872,21821
8,Utah,885523,26225,15300
9,Oregon,633876,45631,47296
10,Florida,5535803,140461,94580
11,New York,4805416,100288,132238
12,Rhode Island,343779,11287,12450
13,Georgia,2368052,76939,49706
14,New Hampshire,276856,12016,14430
15,North Carolina,2421799,141614,128577
16,New Jersey,2111856,59734,86900
17,Colorado,1253042,29444,9911
18,Maryland,955280,23403,32758
19,Nevada,656898,23070,8243
20,Tennessee,1771783,128907,130971
21,Hawaii,219288,13614,11226
22,Indiana,1623439,68893,68825
23,Kentucky,1160558,83847,83775
24,Minnesota,1321753,93743,99347
25,Oklahoma,976914,63120,56886
26,Pennsylvania,2661481,70811,68839
27,South Carolina,1355116,60672,36102
28,District of Columbia,129817,1609,1965
29,Kansas,730853,42994,53201
30,Missouri,1334549,53307,52268
31,Vermont,104472,4616,5409
32,Virginia,1545650,51243,42637
33,Connecticut,699400,23845,23566
34,Iowa,712288,28346,27981
35,Louisiana,1114109,33953,24696
36,Ohio,2580405,38429,21339
37,Michigan,2258465,142035,123470
38,South Dakota,226413,6381,5307
39,Arkansas,776759,15210,6037
40,Delaware,248111,5465,5300
41,Mississippi,727418,25744,17326
42,New Mexico,480087,28704,26401
43,North Dakota,223726,10574,9936
44,Wyoming,146505,9354,9376
45,Alaska,216939,15520,15368
46,Maine,174225,8036,8687
47,Alabama,1218257,107172,75528
48,Idaho,380302,23015,26737
49,Montana,242180,21260,25762
50,Puerto Rico,457935,NaN,NaN
51,Virgin Islands,14870,NaN,NaN
52,Guam,32331,NaN,NaN
53,West Virginia,446771,27906,27332
54,Northern Mariana Islands,4908,NaN,NaN
55,American Samoa,18,NaN,NaN
