,State,719,724,731
0,Washington,NaN,102938,143857
1,Illinois,NaN,272780,334545
2,California,NaN,836307,1118622
3,Arizona,NaN,97992,112666
4,Massachusetts,NaN,160084,134547
5,Wisconsin,NaN,72563,79627
6,Texas,NaN,566392,713753
7,Nebraska,NaN,15650,13451
8,Utah,NaN,84853,111794
9,Oregon,NaN,62527,83266
10,Florida,NaN,845650,699412
11,New York,NaN,728613,947981
12,Rhode Island,NaN,55431,54977
13,Georgia,NaN,78731,98277
14,New Hampshire,NaN,16685,16472
15,North Carolina,NaN,139193,154947
16,New Jersey,NaN,264483,302964
17,Colorado,NaN,68197,68048
18,Maryland,NaN,215224,319257
19,Nevada,NaN,30420,34530
20,Tennessee,NaN,50724,56056
21,Hawaii,NaN,38877,65732
22,Indiana,NaN,75019,67744
23,Kentucky,NaN,102714,104363
24,Minnesota,NaN,50001,53748
25,Oklahoma,NaN,29674,30227
26,Pennsylvania,NaN,261819,355140
27,South Carolina,NaN,109278,129814
28,District of Columbia,NaN,14027,12542
29,Kansas,NaN,46781,43146
30,Missouri,NaN,78765,73534
31,Vermont,NaN,16273,16026
32,Virginia,NaN,153387,200887
33,Connecticut,NaN,72662,87640
34,Iowa,NaN,31871,31549
35,Louisiana,NaN,119027,154115
36,Ohio,NaN,208671,272964
37,Michigan,NaN,205485,233628
38,South Dakota,NaN,14683,18149
39,Arkansas,NaN,54205,57411
40,Delaware,NaN,24249,31262
41,Mississippi,NaN,59058,62888
42,New Mexico,NaN,26578,26664
43,North Dakota,NaN,8965,9997
44,Wyoming,NaN,5816,6264
45,Alaska,NaN,13135,16005
46,Maine,NaN,6937,7117
47,Alabama,NaN,82971,89686
48,Idaho,NaN,9837,10091
49,Montana,NaN,7410,8755
50,Puerto Rico,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,47255,63509
54,Northern Mariana Islands,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN
