,State,244,255,262,269,276,283
0,Washington,2070,47,47,48,51,55
1,Illinois,8722,124,118,113,111,111
2,California,15189,502,471,454,448,455
3,Arizona,5498,89,76,69,66,64
4,Massachusetts,9328,65,57,53,51,50
5,Wisconsin,1251,47,53,59,67,77
6,Texas,15229,542,492,455,429,414
7,Nebraska,461,16,16,16,16,17
8,Utah,443,15,16,15,15,15
9,Oregon,532,23,24,26,28,31
10,Florida,13416,520,464,417,378,348
11,New York,33090,64,61,55,50,46
12,Rhode Island,1099,14,13,12,11,10
13,Georgia,6673,223,203,186,175,169
14,New Hampshire,438,3,3,3,4,4
15,North Carolina,3286,149,145,141,139,140
16,New Jersey,16076,31,28,26,24,22
17,Colorado,2025,28,29,30,31,32
18,Maryland,3895,39,38,37,36,36
19,Nevada,1546,50,45,42,41,41
20,Tennessee,2261,127,120,114,109,105
21,Hawaii,120,18,17,18,18,20
22,Indiana,3520,65,64,62,62,63
23,Kentucky,1119,52,53,54,55,57
24,Minnesota,2031,48,47,47,47,48
25,Oklahoma,962,46,45,44,43,43
26,Pennsylvania,8002,92,84,84,85,88
27,South Carolina,3243,125,118,112,109,109
28,District of Columbia,621,3,3,3,2,2
29,Kansas,614,39,36,36,37,38
30,Missouri,1867,81,80,80,82,85
31,Vermont,58,0,1,1,1,1
32,Virginia,3058,130,115,113,112,113
33,Connecticut,4496,12,11,11,11,12
34,Iowa,1293,54,52,50,48,47
35,Louisiana,5388,114,102,90,81,74
36,Ohio,4635,137,139,140,142,148
37,Michigan,6997,62,62,61,62,64
38,South Dakota,202,15,15,15,15,15
39,Arkansas,1209,65,61,56,53,50
40,Delaware,628,6,5,5,5,5
41,Mississippi,2846,81,72,66,61,59
42,New Mexico,854,21,21,21,23,24
43,North Dakota,196,17,16,16,15,15
44,Wyoming,49,2,2,2,2,3
45,Alaska,45,2,3,3,3,3
46,Maine,140,2,2,2,3,3
47,Alabama,2457,75,69,63,59,55
48,Idaho,451,24,23,21,20,19
49,Montana,163,16,15,16,17,19
50,Puerto Rico,613,54,54,55,56,58
51,Virgin Islands,19,1,1,1,1,1
52,Guam,37,7,6,6,5,5
53,West Virginia,320,31,31,31,33,34
54,Northern Mariana Islands,2,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
