,State,250,255,262,269,276,283
0,Washington,2100,57,63,71,81,97
1,Illinois,8858,150,147,148,155,169
2,California,15633,591,573,563,559,568
3,Arizona,5624,142,133,129,130,134
4,Massachusetts,9415,84,78,75,76,81
5,Wisconsin,1283,46,52,59,68,80
6,Texas,15807,630,598,582,579,590
7,Nebraska,472,20,21,22,25,28
8,Utah,453,17,18,19,21,23
9,Oregon,547,22,26,29,33,39
10,Florida,14037,622,577,545,532,530
11,New York,33140,64,71,80,90,106
12,Rhode Island,1110,18,18,18,18,18
13,Georgia,6961,313,294,282,276,277
14,New Hampshire,439,1,1,2,2,2
15,North Carolina,3445,183,187,197,215,240
16,New Jersey,16107,43,46,51,57,66
17,Colorado,2044,30,32,35,39,45
18,Maryland,3938,55,55,55,57,61
19,Nevada,1585,50,46,44,43,43
20,Tennessee,2389,140,136,133,133,135
21,Hawaii,132,14,14,14,14,15
22,Indiana,3591,76,80,87,96,109
23,Kentucky,1162,53,56,60,65,72
24,Minnesota,2067,52,56,62,70,80
25,Oklahoma,1007,55,56,59,65,72
26,Pennsylvania,8088,125,132,144,162,189
27,South Carolina,3337,124,118,114,112,113
28,District of Columbia,624,3,3,3,3,3
29,Kansas,644,38,40,43,46,51
30,Missouri,2057,131,131,136,156,182
31,Vermont,58,0,0,0,0,0
32,Virginia,3170,137,136,138,146,158
33,Connecticut,4503,14,16,20,23,28
34,Iowa,1324,52,54,56,57,59
35,Louisiana,5480,110,104,101,98,98
36,Ohio,4746,141,150,162,174,193
37,Michigan,7051,67,68,72,78,87
38,South Dakota,218,17,19,20,21,23
39,Arkansas,1329,93,88,85,88,92
40,Delaware,634,8,8,8,9,10
41,Mississippi,2921,100,92,85,80,77
42,New Mexico,873,26,28,30,32,35
43,North Dakota,234,38,44,49,53,54
44,Wyoming,50,2,2,2,3,3
45,Alaska,56,5,5,6,7,9
46,Maine,140,1,1,2,2,3
47,Alabama,2501,74,73,72,70,69
48,Idaho,460,22,22,22,21,21
49,Montana,174,17,19,23,27,32
50,Puerto Rico,648,46,49,52,54,58
51,Virgin Islands,20,0,0,0,0,0
52,Guam,39,6,6,5,5,4
53,West Virginia,342,30,32,34,37,41
54,Northern Mariana Islands,2,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
