,County,235,241,248,255,262,269,276
0,01001,1442,29,31,34,33,33,35
1,01003,4781,410,859,1500,1953,2172,2285
2,01005,622,0,0,0,0,0,0
3,01007,578,7,5,4,4,3,3
4,01009,1121,68,102,145,175,186,193
5,01011,558,,,,,,NaN
6,01013,866,19,19,21,22,23,24
7,01015,2773,314,767,1439,1913,2146,2170
8,01017,863,6,7,8,8,12,14
9,01019,407,13,14,14,12,14,13
10,01021,1244,89,149,214,253,278,286
11,01023,331,7,7,7,8,8,8
12,01025,935,15,7,0,0,0,0
13,01027,435,14,14,14,15,14,15
14,01029,281,25,40,51,59,66,72
15,01031,1044,73,146,228,288,319,338
16,01033,1513,50,65,81,95,98,105
17,01035,444,0,0,0,0,0,0
18,01037,117,0,0,0,0,0,0
19,01039,842,8,7,7,7,6,7
20,01041,421,0,0,0,0,0,0
21,01043,1524,67,74,84,94,96,94
22,01045,1091,59,186,384,529,605,634
23,01047,1475,23,21,18,19,18,16
24,01049,2155,34,26,22,16,14,16
25,01051,2213,147,203,270,320,334,344
26,01053,1300,13,9,7,7,14,14
27,01055,2886,182,375,621,801,900,940
28,01057,353,11,9,13,13,14,13
29,01059,1662,62,48,42,37,34,33
30,01061,418,22,15,11,9,9,8
31,01063,282,0,0,0,0,0,0
32,01065,556,7,5,4,0,0,0
33,01067,361,7,7,7,7,7,7
34,01069,2008,48,23,11,7,7,13
35,01071,1362,22,12,7,4,0,0
36,01073,17407,811,576,385,289,227,211
37,01075,292,0,0,0,0,0,0
38,01077,1527,78,113,149,174,186,192
39,01079,532,21,33,39,46,47,50
40,01081,3613,219,129,66,31,15,7
41,01083,1796,56,29,17,9,7,3
42,01085,604,0,0,0,0,0,0
43,01087,420,14,11,12,10,10,8
44,01089,6846,268,135,57,25,9,1
45,01091,660,1,1,0,0,0,0
46,01093,787,5,7,14,18,20,21
47,01095,3544,9,6,1,0,0,0
48,01097,12528,264,380,535,635,703,707
49,01099,445,0,0,0,0,0,0
50,01101,8149,167,95,55,29,22,18
51,01103,2962,102,56,28,13,7,3
52,01105,487,0,0,0,0,0,0
53,01107,564,26,17,13,8,7,7
54,01109,882,26,30,36,42,42,45
55,01111,505,0,1,1,4,2,5
56,01113,1575,22,11,5,0,0,0
57,01115,1825,74,52,39,32,29,32
58,01117,4643,295,149,68,31,13,9
59,01119,405,0,0,0,0,0,0
60,01121,1366,39,34,46,69,103,147
61,01123,956,7,7,7,9,17,23
62,01125,5567,178,103,59,41,27,22
63,01127,2034,152,143,132,136,136,134
64,01129,507,2,0,0,0,0,0
65,01131,480,7,3,0,0,0,0
66,01133,623,54,65,77,84,90,91
67,02013,2,0,0,0,0,0,0
68,02016,7,0,0,0,0,0,0
69,02020,3544,495,634,802,918,986,1000
70,02050,80,0,0,0,0,0,0
71,02060,10,0,0,0,0,0,0
72,02068,2,0,0,0,0,0,0
73,02070,6,0,0,0,0,0,0
74,02090,872,,,,,,NaN
75,02100,4,0,0,0,0,0,0
76,02105,0,0,0,0,0,0,0
77,02110,235,17,24,34,38,41,43
78,02122,426,7,7,1,0,0,0
79,02130,48,0,0,0,0,0,0
80,02150,19,0,0,0,0,0,0
81,02158,9,0,0,0,0,0,0
82,02164,0,0,0,0,0,0,0
83,02170,537,17,15,15,17,16,19
84,02180,50,0,0,0,0,0,0
85,02185,61,5,2,0,0,0,0
86,02188,74,0,0,0,0,0,0
87,02195,7,0,0,0,0,0,0
88,02198,30,0,0,0,0,0,0
89,02220,40,0,0,0,0,0,0
90,02230,0,0,0,0,0,0,0
91,02240,21,0,0,0,0,0,0
92,02261,75,0,0,0,0,0,0
93,02275,12,0,0,0,0,0,0
94,02282,21,0,0,0,0,0,0
95,02290,75,0,0,0,0,0,0
96,04001,3386,19,10,7,7,7,7
97,04003,1860,7,3,0,0,0,3
98,04005,3550,48,74,101,120,129,136
99,04007,1168,12,6,0,0,0,0
100,04009,774,21,21,21,21,20,21
101,04011,58,0,0,0,0,0,0
102,04012,526,0,0,0,1,2,2
103,04013,137507,2155,1589,1136,884,765,696
104,04015,3790,59,70,78,83,87,88
105,04017,5686,31,27,22,21,20,21
106,04019,22418,223,271,341,381,414,419
107,04021,10183,437,760,1186,1494,1644,1735
108,04023,2783,13,7,7,7,7,7
109,04025,2423,10,1,0,0,0,0
110,04027,12400,30,21,17,15,14,14
111,05001,314,5,6,7,6,7,7
112,05003,400,3,0,0,0,0,0
113,05005,207,34,40,55,60,69,68
114,05007,5849,260,164,97,54,34,27
115,05009,531,96,242,426,549,617,625
116,05011,321,16,8,7,6,6,1
117,05013,28,0,0,0,0,0,0
118,05015,546,44,49,53,57,57,56
119,05017,976,17,8,0,0,0,0
120,05019,277,7,7,9,13,14,14
121,05021,229,28,30,35,39,41,43
122,05023,293,20,37,57,69,75,81
123,05025,159,1,0,0,0,0,0
124,05027,339,13,7,6,6,5,7
125,05029,231,16,15,15,15,16,15
126,05031,2360,569,1070,1668,2036,2189,2157
127,05033,1088,70,82,89,102,108,110
128,05035,1801,98,142,191,223,242,250
129,05037,367,32,45,58,63,66,69
130,05039,154,14,17,22,22,22,24
131,05041,260,0,0,0,0,0,0
132,05043,332,10,4,0,0,0,0
133,05045,2012,325,633,1016,1313,1449,1503
134,05047,212,0,0,0,1,3,3
135,05049,98,11,10,12,14,14,14
136,05051,1624,141,199,258,294,319,326
137,05053,222,1,1,0,4,4,4
138,05055,715,4,0,0,0,0,4
139,05057,344,7,0,0,0,0,0
140,05059,1783,11,14,19,19,21,22
141,05061,448,7,5,1,0,0,0
142,05063,906,2,0,0,0,0,0
143,05065,128,15,10,7,7,7,7
144,05067,243,7,4,0,0,0,0
145,05069,2514,299,323,355,382,385,400
146,05071,799,0,0,0,0,0,0
147,05073,80,0,0,0,0,0,2
148,05075,313,4,6,7,7,7,7
149,05077,1021,,,,,,NaN
150,05079,1780,,,,,,NaN
151,05081,323,8,7,8,8,7,9
152,05083,381,7,2,0,0,0,0
153,05085,920,127,320,616,825,926,953
154,05087,319,0,0,0,0,0,0
155,05089,60,7,10,14,17,16,21
156,05091,717,84,118,157,186,198,203
157,05093,1499,35,48,55,67,79,98
158,05095,102,2,0,0,0,0,0
159,05097,121,23,12,7,1,0,0
160,05099,177,0,0,0,0,0,0
161,05101,172,0,0,0,0,0,0
162,05103,212,42,59,78,90,98,99
163,05105,72,0,3,7,7,7,7
164,05107,432,12,7,7,3,1,1
165,05109,212,7,7,7,7,7,9
166,05111,564,25,21,26,40,59,77
167,05113,247,17,7,0,0,0,0
168,05115,1943,128,74,44,28,20,16
169,05117,131,0,0,0,0,0,0
170,05119,8067,715,903,1098,1228,1287,1308
171,05121,339,7,5,6,7,8,13
172,05123,1386,14,14,14,15,17,20
173,05125,1833,73,99,134,150,161,172
174,05127,92,0,0,0,0,0,0
175,05129,127,24,24,25,29,33,37
176,05131,3175,233,530,941,1225,1375,1419
177,05133,1182,10,7,7,7,7,7
