,County,299,304,311,318,325,332,339,346,353
0,01001,2481,168,168,168,168,168,168,168,168
1,01003,7696,408,408,408,408,408,408,408,408
2,01005,1130,31,31,31,31,31,31,31,31
3,01007,993,54,54,54,54,54,54,54,54
4,01009,2574,232,232,232,232,232,232,232,232
5,01011,677,12,12,12,12,12,12,12,12
6,01013,1095,29,29,29,29,29,29,29,29
7,01015,5666,317,317,317,317,317,317,317,317
8,01017,1572,73,73,73,73,73,73,73,73
9,01019,912,62,62,62,62,62,62,62,62
10,01021,2084,67,67,67,67,67,67,67,67
11,01023,411,3,3,3,3,3,3,3,3
12,01025,1503,60,60,60,60,60,60,60,60
13,01027,850,33,33,33,33,33,33,33,33
14,01029,678,37,37,37,37,37,37,37,37
15,01031,2180,185,185,185,185,185,185,185,185
16,01033,2757,257,257,257,257,257,257,257,257
17,01035,647,35,35,35,35,35,35,35,35
18,01037,270,32,32,32,32,32,32,32,32
19,01039,2043,81,81,81,81,81,81,81,81
20,01041,677,30,30,30,30,30,30,30,30
21,01043,3744,511,511,511,511,511,511,511,511
22,01045,2185,130,130,130,130,130,130,130,130
23,01047,2066,74,74,74,74,74,74,74,74
24,01049,4226,318,318,318,318,318,318,318,318
25,01051,3686,186,186,186,186,186,186,186,186
26,01053,1882,46,46,46,46,46,46,46,46
27,01055,5382,437,437,437,437,437,437,437,437
28,01057,749,69,69,69,69,69,69,69,69
29,01059,2344,75,75,75,75,75,75,75,75
30,01061,1114,68,68,68,68,68,68,68,68
31,01063,377,16,16,16,16,16,16,16,16
32,01065,876,45,45,45,45,45,45,45,45
33,01067,816,34,34,34,34,34,34,34,34
34,01069,4791,241,241,241,241,241,241,241,241
35,01071,2728,223,223,223,223,223,223,223,223
36,01073,28140,1952,1952,1952,1952,1952,1952,1952,1952
37,01075,584,28,28,28,28,28,28,28,28
38,01077,3360,348,348,348,348,348,348,348,348
39,01079,1080,76,76,76,76,76,76,76,76
40,01081,7240,303,303,303,303,303,303,303,303
41,01083,3689,304,304,304,304,304,304,304,304
42,01085,763,13,13,13,13,13,13,13,13
43,01087,655,51,51,51,51,51,51,51,51
44,01089,11438,871,871,871,871,871,871,871,871
45,01091,1134,40,40,40,40,40,40,40,40
46,01093,1284,60,60,60,60,60,60,60,60
47,01095,5355,434,434,434,434,434,434,434,434
48,01097,18565,716,716,716,716,716,716,716,716
49,01099,732,31,31,31,31,31,31,31,31
50,01101,11644,448,448,448,448,448,448,448,448
51,01103,5466,515,515,515,515,515,515,515,515
52,01105,641,21,21,21,21,21,21,21,21
53,01107,1077,76,76,76,76,76,76,76,76
54,01109,1502,67,67,67,67,67,67,67,67
55,01111,954,51,51,51,51,51,51,51,51
56,01113,2084,36,36,36,36,36,36,36,36
57,01115,3750,262,262,262,262,262,262,262,262
58,01117,9086,731,731,731,731,731,731,731,731
59,01119,536,21,21,21,21,21,21,21,21
60,01121,3180,185,185,185,185,185,185,185,185
61,01123,1611,125,125,125,125,125,125,125,125
62,01125,11886,585,585,585,585,585,585,585,585
63,01127,3307,149,149,149,149,149,149,149,149
64,01129,877,63,63,63,63,63,63,63,63
65,01131,607,16,16,16,16,16,16,16,16
66,01133,1143,104,104,104,104,104,104,104,104
67,02013,22,1,1,1,1,1,1,1,1
68,02016,105,2,2,2,2,2,2,2,2
69,02020,12772,2065,2065,2065,2065,2065,2065,2065,2065
70,02050,957,245,245,245,245,245,245,245,245
71,02060,0,0,0,0,0,0,0,0,0
72,02068,38,5,5,5,5,5,5,5,5
73,02070,81,13,13,13,13,13,13,13,13
74,02090,2909,314,314,314,314,314,314,314,314
75,02100,16,1,1,1,1,1,1,1,1
76,02105,0,0,0,0,0,0,0,0,0
77,02110,755,79,79,79,79,79,79,79,79
78,02122,1789,389,389,389,389,389,389,389,389
79,02130,181,48,48,48,48,48,48,48,48
80,02150,172,21,21,21,21,21,21,21,21
81,02158,357,34,34,34,34,34,34,34,34
82,02164,133,13,13,13,13,13,13,13,13
83,02170,2359,390,390,390,390,390,390,390,390
84,02180,168,11,11,11,11,11,11,11,11
85,02185,380,63,63,63,63,63,63,63,63
