,State,753,759,766
0,Washington,11316,285,280
1,Illinois,34228,423,363
2,California,82558,1561,1483
3,Arizona,27180,393,294
4,Massachusetts,22791,329,221
5,Wisconsin,12877,227,178
6,Texas,82270,1372,1245
7,Nebraska,3815,63,54
8,Utah,4261,69,57
9,Oregon,6355,146,133
10,Florida,67572,1274,1128
11,New York,66523,519,402
12,Rhode Island,3376,21,15
13,Georgia,34076,624,497
14,New Hampshire,2294,37,30
15,North Carolina,21665,555,459
16,New Jersey,32380,308,213
17,Colorado,11601,168,158
18,Maryland,13917,172,134
19,Nevada,9334,178,144
20,Tennessee,23326,297,268
21,Hawaii,1262,27,25
22,Indiana,22136,382,312
23,Kentucky,13300,216,210
24,Minnesota,11957,189,165
25,Oklahoma,13847,236,200
26,Pennsylvania,42203,574,440
27,South Carolina,16136,299,227
28,District of Columbia,1309,15,17
29,Kansas,7720,NaN,NaN
30,Missouri,18217,299,280
31,Vermont,566,11,10
32,Virginia,17482,496,472
33,Connecticut,10260,90,71
34,Iowa,8829,137,112
35,Louisiana,16176,226,183
36,Ohio,35005,NaN,NaN
37,Michigan,33463,506,418
38,South Dakota,2730,34,26
39,Arkansas,10065,202,203
40,Delaware,2643,38,26
41,Mississippi,11558,NaN,NaN
42,New Mexico,6658,106,86
43,North Dakota,2201,24,23
44,Wyoming,1667,16,15
45,Alaska,1114,11,8
46,Maine,1828,43,46
47,Alabama,17571,168,158
48,Idaho,4552,68,60
49,Montana,3067,33,29
50,Puerto Rico,4030,70,55
51,Virgin Islands,105,2,2
52,Guam,306,8,7
53,West Virginia,5992,126,122
54,Northern Mariana Islands,23,0,0
55,American Samoa,0,0,0
