,State,725,731,738
0,Washington,NaN,236,334
1,Illinois,NaN,833,1044
2,California,NaN,906,1184
3,Arizona,NaN,486,510
4,Massachusetts,NaN,459,546
5,Wisconsin,NaN,300,357
6,Texas,NaN,834,1072
7,Nebraska,NaN,156,176
8,Utah,NaN,116,150
9,Oregon,NaN,162,208
10,Florida,NaN,99,122
11,New York,NaN,1450,1848
12,Rhode Island,NaN,76,98
13,Georgia,NaN,410,506
14,New Hampshire,NaN,60,83
15,North Carolina,NaN,354,502
16,New Jersey,NaN,742,1030
17,Colorado,NaN,214,263
18,Maryland,NaN,NaN,NaN
19,Nevada,NaN,138,172
20,Tennessee,NaN,190,204
21,Hawaii,NaN,NaN,NaN
22,Indiana,NaN,798,850
23,Kentucky,NaN,194,218
24,Minnesota,NaN,245,267
25,Oklahoma,NaN,202,258
26,Pennsylvania,NaN,1072,1354
27,South Carolina,NaN,198,284
28,District of Columbia,NaN,NaN,NaN
29,Kansas,NaN,72,97
30,Missouri,NaN,378,446
31,Vermont,NaN,14,41
32,Virginia,NaN,149,183
33,Connecticut,NaN,226,320
34,Iowa,NaN,204,256
35,Louisiana,NaN,126,162
36,Ohio,NaN,NaN,NaN
37,Michigan,NaN,789,926
38,South Dakota,NaN,45,64
39,Arkansas,NaN,154,202
40,Delaware,NaN,NaN,NaN
41,Mississippi,NaN,123,162
42,New Mexico,NaN,170,196
43,North Dakota,NaN,28,40
44,Wyoming,NaN,30,50
45,Alaska,NaN,10,26
46,Maine,NaN,70,99
47,Alabama,NaN,164,184
48,Idaho,NaN,66,85
49,Montana,NaN,38,48
50,Puerto Rico,NaN,80,80
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,122,136
54,Northern Mariana Islands,NaN,4,3
55,American Samoa,NaN,0,0
