,State,732,738,745
0,Washington,NaN,221,248
1,Illinois,NaN,704,709
2,California,NaN,848,929
3,Arizona,NaN,496,545
4,Massachusetts,NaN,408,445
5,Wisconsin,NaN,295,321
6,Texas,NaN,817,840
7,Nebraska,NaN,62,77
8,Utah,NaN,80,94
9,Oregon,NaN,93,112
10,Florida,NaN,623,701
11,New York,NaN,1413,1420
12,Rhode Island,NaN,73,87
13,Georgia,NaN,354,377
14,New Hampshire,NaN,70,84
15,North Carolina,NaN,327,364
16,New Jersey,NaN,665,712
17,Colorado,NaN,198,204
18,Maryland,NaN,506,539
19,Nevada,NaN,123,149
20,Tennessee,NaN,440,456
21,Hawaii,NaN,25,31
22,Indiana,NaN,554,536
23,Kentucky,NaN,187,212
24,Minnesota,NaN,195,213
25,Oklahoma,NaN,236,269
26,Pennsylvania,NaN,782,723
27,South Carolina,NaN,222,251
28,District of Columbia,NaN,22,25
29,Kansas,NaN,140,168
30,Missouri,NaN,335,357
31,Vermont,NaN,20,24
32,Virginia,NaN,109,127
33,Connecticut,NaN,234,259
34,Iowa,NaN,104,127
35,Louisiana,NaN,154,176
36,Ohio,NaN,NaN,NaN
37,Michigan,NaN,676,613
38,South Dakota,NaN,46,56
39,Arkansas,NaN,107,128
40,Delaware,NaN,72,81
41,Mississippi,NaN,116,139
42,New Mexico,NaN,146,167
43,North Dakota,NaN,24,29
44,Wyoming,NaN,17,22
45,Alaska,NaN,7,8
46,Maine,NaN,54,55
47,Alabama,NaN,169,202
48,Idaho,NaN,53,63
49,Montana,NaN,37,46
50,Puerto Rico,NaN,113,103
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,106,122
54,Northern Mariana Islands,NaN,3,4
55,American Samoa,NaN,0,0
