,State,739,745,752
0,Washington,10699,311,350
1,Illinois,33121,913,915
2,California,79801,1117,1195
3,Arizona,26206,486,452
4,Massachusetts,21909,606,637
5,Wisconsin,12291,331,334
6,Texas,79374,1161,1188
7,Nebraska,3666,84,94
8,Utah,4107,104,120
9,Oregon,6086,139,161
10,Florida,64955,965,1017
11,New York,64778,1374,1260
12,Rhode Island,3302,65,65
13,Georgia,32868,520,536
14,New Hampshire,2205,77,81
15,North Carolina,20595,432,458
16,New Jersey,31412,710,706
17,Colorado,11061,257,267
18,Maryland,13465,387,361
19,Nevada,8913,185,211
20,Tennessee,22142,519,539
21,Hawaii,1180,28,31
22,Indiana,21301,533,517
23,Kentucky,12890,225,247
24,Minnesota,11532,270,303
25,Oklahoma,13210,255,286
26,Pennsylvania,40563,995,983
27,South Carolina,15266,170,188
28,District of Columbia,1284,NaN,NaN
29,Kansas,7519,192,215
30,Missouri,17403,361,376
31,Vermont,533,21,21
32,Virginia,16127,221,228
33,Connecticut,9985,238,238
34,Iowa,8501,187,211
35,Louisiana,15631,386,418
36,Ohio,33537,NaN,NaN
37,Michigan,32197,645,593
38,South Dakota,2637,48,51
39,Arkansas,9616,127,142
40,Delaware,2531,52,50
41,Mississippi,10831,122,139
42,New Mexico,6417,172,196
43,North Dakota,2140,32,38
44,Wyoming,1625,26,30
45,Alaska,1085,31,37
46,Maine,1738,42,45
47,Alabama,17086,156,172
48,Idaho,4405,77,89
49,Montana,2993,32,38
50,Puerto Rico,3854,129,113
51,Virgin Islands,99,3,3
52,Guam,285,9,9
53,West Virginia,5743,128,146
54,Northern Mariana Islands,23,1,1
55,American Samoa,0,0,0
