,State,270,276
0,Washington,98201,3785
1,Illinois,347631,27244
2,California,875692,18882
3,Arizona,231149,6472
4,Massachusetts,143660,5147
5,Wisconsin,166186,25305
6,Texas,854006,37366
7,Nebraska,58068,6991
8,Utah,94394,9697
9,Oregon,39532,2595
10,Florida,755020,22895
11,New York,484281,10116
12,Rhode Island,27691,1487
13,Georgia,340558,9389
14,New Hampshire,9625,544
15,North Carolina,246028,15729
16,New Jersey,219647,6284
17,Colorado,85279,8169
18,Maryland,135657,5073
19,Nevada,90261,4529
20,Tennessee,228744,13957
21,Hawaii,14031,478
22,Indiana,147582,15570
23,Kentucky,87607,9238
24,Minnesota,122812,11421
25,Oklahoma,107299,7552
26,Pennsylvania,186754,10708
27,South Carolina,163990,7602
28,District of Columbia,16370,505
29,Kansas,70268,5746
30,Missouri,158955,7010
31,Vermont,1937,92
32,Virginia,166138,7762
33,Connecticut,62830,3322
34,Iowa,107334,9344
35,Louisiana,175781,3749
36,Ohio,181787,15346
37,Michigan,161105,13387
38,South Dakota,33269,6108
39,Arkansas,99066,6507
40,Delaware,23093,940
41,Mississippi,110006,6651
42,New Mexico,36788,4370
43,North Dakota,31978,5911
44,Wyoming,9025,1616
45,Alaska,12038,1617
46,Maine,5937,228
47,Alabama,172626,8315
48,Idaho,53092,5581
49,Montana,22821,4885
50,Puerto Rico,57293,2587
51,Virgin Islands,1335,10
52,Guam,3538,708
53,West Virginia,20081,2352
54,Northern Mariana Islands,86,7
55,American Samoa,0,NaN
