,State,277,283
0,Washington,102913,4910
1,Illinois,378958,36610
2,California,906596,36789
3,Arizona,238163,6197
4,Massachusetts,150565,8142
5,Wisconsin,198166,31088
6,Texas,892006,38855
7,Nebraska,63797,5924
8,Utah,104882,11307
9,Oregon,42101,2531
10,Florida,778636,27180
11,New York,495464,11573
12,Rhode Island,30118,2797
13,Georgia,350923,10964
14,New Hampshire,10328,633
15,North Carolina,260099,14206
16,New Jersey,228468,9002
17,Colorado,95066,10388
18,Maryland,140279,3908
19,Nevada,95703,5676
20,Tennessee,247587,20942
21,Hawaii,14672,577
22,Indiana,162607,16440
23,Kentucky,96942,9291
24,Minnesota,133802,13724
25,Oklahoma,116736,9832
26,Pennsylvania,198713,14071
27,South Carolina,170678,5419
28,District of Columbia,16767,390
29,Kansas,75816,6175
30,Missouri,171796,13738
31,Vermont,2073,184
32,Virginia,173371,6777
33,Connecticut,66052,4348
34,Iowa,116238,8736
35,Louisiana,179842,4168
36,Ohio,198115,17726
37,Michigan,175612,16333
38,South Dakota,39203,7131
39,Arkansas,106115,7200
40,Delaware,23961,839
41,Mississippi,115088,5257
42,New Mexico,41863,5938
43,North Dakota,37719,6522
44,Wyoming,11041,2550
45,Alaska,14070,2151
46,Maine,6199,212
47,Alabama,184355,14116
48,Idaho,59344,6820
49,Montana,27880,6003
50,Puerto Rico,62503,5157
51,Virgin Islands,1346,16
52,Guam,4141,731
53,West Virginia,21907,2375
54,Northern Mariana Islands,88,0
55,American Samoa,0,NaN
