,State,354,360
0,Washington,271595,12062
1,Illinois,1028750,46540
2,California,2717862,270763
3,Arizona,618546,72909
4,Massachusetts,432791,38795
5,Wisconsin,550260,24098
6,Texas,1968189,183501
7,Nebraska,176026,8095
8,Utah,305999,25127
9,Oregon,125683,6013
10,Florida,1477010,130168
11,New York,1135592,118923
12,Rhode Island,97614,9420
13,Georgia,757045,61623
14,New Hampshire,51600,3202
15,North Carolina,623188,57999
16,New Jersey,584828,38873
17,Colorado,361148,21463
18,Maryland,306674,22298
19,Nevada,248569,22470
20,Tennessee,653869,52688
21,Hawaii,23586,1460
22,Indiana,563653,42072
23,Kentucky,303624,35997
24,Minnesota,436572,15609
25,Oklahoma,331362,24716
26,Pennsylvania,723865,56481
27,South Carolina,354525,38081
28,District of Columbia,31791,2374
29,Kansas,243648,14539
30,Missouri,434711,22818
31,Vermont,8967,1526
32,Virginia,398856,34007
33,Connecticut,205994,24053
34,Iowa,296682,15306
35,Louisiana,346829,27195
36,Ohio,777065,55411
37,Michigan,562553,43584
38,South Dakota,103318,1855
39,Arkansas,255076,24047
40,Delaware,65273,6549
41,Mississippi,239082,15477
42,New Mexico,156157,10254
43,North Dakota,94716,1770
44,Wyoming,46832,2067
45,Alaska,50218,1810
46,Maine,29298,3105
47,Alabama,401900,30471
48,Idaho,149667,5817
49,Montana,86324,4885
50,Puerto Rico,83119,4056
51,Virgin Islands,2143,199
52,Guam,7399,80
53,West Virginia,101212,11559
54,Northern Mariana Islands,125,3
55,American Samoa,0,0
