,State,368,374
0,Washington,300198,14352
1,Illinois,1101819,28225
2,California,3187475,114955
3,Arizona,722574,39008
4,Massachusetts,500037,23525
5,Wisconsin,581377,9403
6,Texas,2250421,124038
7,Nebraska,187147,8008
8,Utah,336405,9562
9,Oregon,138168,3536
10,Florida,1649449,71961
11,New York,1335695,78772
12,Rhode Island,109735,5111
13,Georgia,866911,48984
14,New Hampshire,62337,5779
15,North Carolina,718812,43034
16,New Jersey,662808,31349
17,Colorado,386285,8830
18,Maryland,341452,11512
19,Nevada,270907,6438
20,Tennessee,708717,23183
21,Hawaii,25379,539
22,Indiana,611039,18036
23,Kentucky,346138,15458
24,Minnesota,454989,6442
25,Oklahoma,373090,16036
26,Pennsylvania,807102,31088
27,South Carolina,418325,29217
28,District of Columbia,35301,1499
29,Kansas,268908,7513
30,Missouri,461912,9058
31,Vermont,11033,1069
32,Virginia,472447,33789
33,Connecticut,237815,14497
34,Iowa,313137,6871
35,Louisiana,383862,9118
36,Ohio,864322,31505
37,Michigan,596746,10614
38,South Dakota,107148,1084
39,Arkansas,284066,9878
40,Delaware,74575,4661
41,Mississippi,264219,12032
42,New Mexico,169205,3758
43,North Dakota,96817,866
44,Wyoming,50898,1624
45,Alaska,53315,1248
46,Maine,36598,2595
47,Alabama,441170,14837
48,Idaho,159506,2432
49,Montana,91652,1696
50,Puerto Rico,91028,3487
51,Virgin Islands,2341,232
52,Guam,7547,49
53,West Virginia,115307,5379
54,Northern Mariana Islands,129,3
55,American Samoa,0,0
