,State,256,262
0,Washington,89874,3536
1,Illinois,304235,13935
2,California,832713,21921
3,Arizona,220754,3578
4,Massachusetts,134947,4833
5,Wisconsin,132663,19734
6,Texas,790194,34594
7,Nebraska,47807,3800
8,Utah,77618,7127
9,Oregon,34770,1919
10,Florida,716459,15347
11,New York,464582,8804
12,Rhode Island,25076,869
13,Georgia,322925,7647
14,New Hampshire,8645,456
15,North Carolina,217496,10373
16,New Jersey,208202,5795
17,Colorado,73054,4043
18,Maryland,127290,3934
19,Nevada,82100,3507
20,Tennessee,201210,8587
21,Hawaii,12804,772
22,Indiana,125146,7693
23,Kentucky,72617,6058
24,Minnesota,103826,7222
25,Oklahoma,90748,7113
26,Pennsylvania,168126,6677
27,South Carolina,151582,5589
28,District of Columbia,15519,259
29,Kansas,60980,4167
30,Missouri,134079,6359
31,Vermont,1785,44
32,Virginia,151870,5731
33,Connecticut,58297,1449
34,Iowa,92744,6567
35,Louisiana,168294,3681
36,Ohio,158907,8097
37,Michigan,141271,7170
38,South Dakota,24418,2734
39,Arkansas,87013,5918
40,Delaware,21243,1022
41,Mississippi,100488,3309
42,New Mexico,30477,1996
43,North Dakota,23550,2698
44,Wyoming,6504,971
45,Alaska,9413,851
46,Maine,5519,227
47,Alabama,159169,6925
48,Idaho,43964,3686
49,Montana,14635,2768
50,Puerto Rico,50675,5315
51,Virgin Islands,1327,7
52,Guam,2617,242
53,West Virginia,16635,1334
54,Northern Mariana Islands,73,4
55,American Samoa,0,NaN
