,State,284,290
0,Washington,108315,5899
1,Illinois,423527,49024
2,California,935878,29854
3,Arizona,247473,9117
4,Massachusetts,159707,11344
5,Wisconsin,241422,33402
6,Texas,945828,46640
7,Nebraska,71666,9566
8,Utah,116510,12698
9,Oregon,45429,3759
10,Florida,807412,30249
11,New York,509735,16578
12,Rhode Island,32874,4096
13,Georgia,361982,13134
14,New Hampshire,11214,1096
15,North Carolina,276692,18812
16,New Jersey,239629,13734
17,Colorado,109910,15589
18,Maryland,146145,6909
19,Nevada,101477,6501
20,Tennessee,261426,14280
21,Hawaii,15367,440
22,Indiana,182108,21719
23,Kentucky,108642,14102
24,Minnesota,150672,21357
25,Oklahoma,124111,6124
26,Pennsylvania,214416,18143
27,South Carolina,178023,7624
28,District of Columbia,17369,683
29,Kansas,90290,8300
30,Missouri,188325,19751
31,Vermont,2196,177
32,Virginia,182392,10196
33,Connecticut,71207,5345
34,Iowa,130974,18610
35,Louisiana,187720,2219
36,Ohio,219000,21819
37,Michigan,197406,28653
38,South Dakota,47324,9413
39,Arkansas,113057,7138
40,Delaware,25126,1203
41,Mississippi,120500,5556
42,New Mexico,47232,6411
43,North Dakota,45043,9568
44,Wyoming,13723,2998
45,Alaska,16705,3567
46,Maine,6711,640
47,Alabama,194458,10473
48,Idaho,65088,5793
49,Montana,33495,6576
50,Puerto Rico,34541,5900
51,Virgin Islands,1376,40
52,Guam,4628,544
53,West Virginia,24883,3259
54,Northern Mariana Islands,96,6
55,American Samoa,0,NaN
