,State,326,332
0,Washington,202063,27699
1,Illinois,848904,57616
2,California,1585378,267849
3,Arizona,408442,49358
4,Massachusetts,290578,41192
5,Wisconsin,468956,20728
6,Texas,1481899,91106
7,Nebraska,148861,8028
8,Utah,233904,16373
9,Oregon,93853,8148
10,Florida,1125931,68377
11,New York,774767,74873
12,Rhode Island,70818,9857
13,Georgia,542838,47224
14,New Hampshire,30956,8377
15,North Carolina,436595,52432
16,New Jersey,400650,38747
17,Colorado,288193,23940
18,Maryland,234647,21856
19,Nevada,186833,16920
20,Tennessee,454305,49219
21,Hawaii,19588,958
22,Indiana,425434,40958
23,Kentucky,223103,21958
24,Minnesota,378823,21756
25,Oklahoma,237668,18604
26,Pennsylvania,495099,73210
27,South Carolina,252206,21526
28,District of Columbia,24874,2585
29,Kansas,188460,20576
30,Missouri,353178,25041
31,Vermont,5753,859
32,Virginia,281909,33556
33,Connecticut,146761,18442
34,Iowa,256249,8184
35,Louisiana,268613,16240
36,Ohio,562727,89361
37,Michigan,465159,28405
38,South Dakota,91038,4645
39,Arkansas,185702,15060
40,Delaware,45460,7599
41,Mississippi,179447,16326
42,New Mexico,119800,10477
43,North Dakota,87871,2052
44,Wyoming,39360,2082
45,Alaska,41143,3807
46,Maine,15923,2782
47,Alabama,295631,28504
48,Idaho,121179,10160
49,Montana,73303,3709
50,Puerto Rico,62431,6058
51,Virgin Islands,1791,366
52,Guam,7079,39
53,West Virginia,63217,9161
54,Northern Mariana Islands,113,4
55,American Samoa,0,0
