,State,312,318
0,Washington,162700,25423
1,Illinois,720114,48213
2,California,1215455,115526
3,Arizona,325995,32726
4,Massachusetts,224964,20182
5,Wisconsin,409054,26351
6,Texas,1225118,74380
7,Nebraska,126466,11342
8,Utah,193809,17583
9,Oregon,74119,9601
10,Florida,992660,55164
11,New York,641161,46256
12,Rhode Island,53954,8498
13,Georgia,469516,23131
14,New Hampshire,20516,4134
15,North Carolina,361778,29367
16,New Jersey,334114,29564
17,Colorado,228772,29420
18,Maryland,196447,15901
19,Nevada,150527,20750
20,Tennessee,366518,34109
21,Hawaii,18138,720
22,Indiana,333312,42387
23,Kentucky,176925,26467
24,Minnesota,312969,54065
25,Oklahoma,195545,30444
26,Pennsylvania,360944,59225
27,South Carolina,216129,11053
28,District of Columbia,21448,1074
29,Kansas,155500,22225
30,Missouri,302409,22322
31,Vermont,4100,722
32,Virginia,235942,22662
33,Connecticut,112581,10332
34,Iowa,228690,13009
35,Louisiana,232245,19498
36,Ohio,414432,58543
37,Michigan,378152,48509
38,South Dakota,79900,7050
39,Arkansas,156247,11814
40,Delaware,35251,4026
41,Mississippi,151785,8400
42,New Mexico,95417,17810
43,North Dakota,78658,4760
44,Wyoming,32489,5287
45,Alaska,32065,4338
46,Maine,11508,1397
47,Alabama,247229,14087
48,Idaho,100484,9201
49,Montana,61801,6304
50,Puerto Rico,51702,5817
51,Virgin Islands,1544,38
52,Guam,6768,157
53,West Virginia,46997,7074
54,Northern Mariana Islands,105,3
55,American Samoa,0,0
