,State,389,395
0,Washington,328047,6258
1,Illinois,1162154,12318
2,California,3485841,45810
3,Arizona,797270,10092
4,Massachusetts,557777,10469
5,Wisconsin,607213,5006
6,Texas,2565258,53287
7,Nebraska,197236,2925
8,Utah,361294,5389
9,Oregon,150281,2411
10,Florida,1827373,52761
11,New York,1539870,51603
12,Rhode Island,120821,2264
13,Georgia,964737,19884
14,New Hampshire,70785,1967
15,North Carolina,821894,22835
16,New Jersey,745987,23811
17,Colorado,413836,8806
18,Maryland,370983,6100
19,Nevada,288348,3241
20,Tennessee,757418,9384
21,Hawaii,27058,243
22,Indiana,648875,7812
23,Kentucky,388798,7619
24,Minnesota,473567,5536
25,Oklahoma,413542,7022
26,Pennsylvania,896996,27234
27,South Carolina,487293,19386
28,District of Columbia,38918,433
29,Kansas,288475,3232
30,Missouri,487338,4004
31,Vermont,13677,596
32,Virginia,549999,23132
33,Connecticut,267337,8184
34,Iowa,329258,3992
35,Louisiana,419891,6153
36,Ohio,939350,15134
37,Michigan,628956,6350
38,South Dakota,110315,1194
39,Arkansas,313028,2827
40,Delaware,83003,2574
41,Mississippi,287436,4687
42,New Mexico,180571,2369
43,North Dakota,98597,288
44,Wyoming,53136,185
45,Alaska,56405,317
46,Maine,42529,853
47,Alabama,480931,4877
48,Idaho,167483,1781
49,Montana,97401,1332
50,Puerto Rico,97609,1311
51,Virgin Islands,2524,113
52,Guam,7689,40
53,West Virginia,127588,2356
54,Northern Mariana Islands,134,1
55,American Samoa,0,0
