,County,256,262,269,276,283,290,297
0,01001,1828,30,26,23,20,17,15
1,01003,6073,336,318,301,281,262,242
2,01005,921,14,12,11,10,8,8
3,01007,686,14,13,11,10,8,7
4,01009,1656,46,40,35,30,26,23
5,01011,613,5,5,4,3,3,2
6,01013,926,7,6,6,5,4,4
7,01015,3679,139,123,108,96,83,72
8,01017,1205,25,23,22,19,18,17
9,01019,639,24,22,20,18,16,14
10,01021,1648,43,37,32,28,25,22
11,01023,366,5,5,4,4,3,3
12,01025,1156,15,12,10,8,7,6
13,01027,611,13,11,9,7,6,6
14,01029,427,11,10,9,8,7,7
15,01031,1462,73,68,64,59,55,50
16,01033,1734,36,32,27,24,21,18
17,01035,540,5,4,3,3,2,2
18,01037,179,5,4,4,4,3,3
19,01039,1478,39,34,30,26,22,19
20,01041,547,11,10,9,8,7,6
21,01043,1959,43,37,33,28,24,21
22,01045,1509,53,48,44,38,34,31
23,01047,1808,13,11,9,7,6,5
24,01049,2610,52,45,40,35,31,26
25,01051,2826,52,46,40,35,31,26
26,01053,1652,27,23,20,18,15,14
27,01055,3685,126,112,100,88,77,68
28,01057,485,14,12,11,9,8,7
29,01059,1842,28,24,21,19,17,15
30,01061,733,43,40,38,35,32,29
31,01063,308,3,3,2,2,2,1
32,01065,666,10,8,7,6,5,4
33,01067,566,20,19,17,15,13,12
34,01069,3347,172,157,143,129,117,106
35,01071,1690,42,38,34,30,27,25
36,01073,20666,585,527,474,424,378,336
37,01075,400,9,8,6,6,5,4
38,01077,1815,52,45,41,35,30,26
39,01079,652,19,17,14,12,11,9
40,01081,6141,186,168,153,140,128,116
41,01083,2258,60,50,43,37,31,26
42,01085,662,3,2,2,2,1,1
43,01087,492,7,7,6,5,4,4
44,01089,8234,329,296,265,238,217,197
45,01091,743,10,9,8,6,6,5
46,01093,997,27,23,20,18,16,13
47,01095,4032,77,69,62,56,50,44
48,01097,13739,229,204,181,162,145,132
49,01099,597,6,5,5,4,3,3
50,01101,9007,120,106,93,82,73,64
51,01103,3461,54,47,40,34,30,26
52,01105,544,3,2,1,1,1,0
53,01107,684,15,13,11,10,9,8
54,01109,1238,23,20,18,16,14,12
55,01111,702,27,26,24,22,20,19
56,01113,1821,28,24,21,19,16,15
57,01115,2461,83,73,65,58,52,46
58,01117,6375,305,277,251,229,208,186
59,01119,438,4,4,3,3,3,2
60,01121,2253,74,66,58,51,46,41
61,01123,1195,29,26,23,21,18,16
62,01125,9194,218,194,175,158,143,130
63,01127,2424,37,31,26,23,19,16
64,01129,582,9,8,7,6,5,4
65,01131,538,3,2,2,1,1,1
66,01133,764,17,14,13,11,9,8
67,02013,14,2,2,1,1,1,0
68,02016,96,1,0,0,0,0,0
69,02020,4957,349,327,304,280,259,233
70,02050,124,10,9,8,7,7,6
71,02060,0,0,0,0,0,0,0
72,02068,14,3,2,2,1,1,1
73,02070,31,1,1,1,1,1,1
74,02090,1345,95,86,76,68,60,53
75,02100,9,0,0,0,0,0,0
76,02105,0,1,0,0,0,0,0
77,02110,389,21,20,18,16,15,13
78,02122,651,19,17,15,14,12,11
79,02130,69,2,1,1,1,1,1
80,02150,73,3,3,3,2,2,2
81,02158,14,,,,,,NaN
82,02164,95,0,0,0,0,0,0
83,02170,682,57,54,52,49,47,45
84,02180,86,4,4,3,3,3,2
85,02185,157,11,9,8,7,5,5
86,02188,143,5,5,4,3,2,2
87,02195,13,0,0,0,0,0,0
88,02198,32,2,1,1,1,1,1
89,02220,70,3,2,2,2,1,1
90,02230,0,0,0,0,0,0,0
91,02240,47,1,0,0,0,0,0
92,02261,129,1,0,0,0,0,0
93,02275,19,0,0,0,0,0,0
94,02282,30,0,0,0,0,0,0
95,02290,86,0,0,0,0,0,0
96,04001,3579,24,22,19,18,16,13
97,04003,1919,43,38,33,31,30,30
98,04005,4275,71,67,64,58,54,48
99,04007,1451,34,28,24,21,17,15
100,04009,885,12,10,9,7,7,6
101,04011,60,2,2,1,1,1,1
102,04012,548,7,7,6,5,4,3
103,04013,143183,1324,1134,983,878,794,729
104,04015,4050,73,67,62,58,55,51
105,04017,5819,24,19,16,14,12,11
106,04019,25925,479,429,383,342,308,279
107,04021,10745,144,135,126,118,110,101
108,04023,2883,11,10,9,9,8,8
109,04025,2617,82,74,68,63,58,53
110,04027,12815,53,44,37,31,28,25
111,05001,459,19,17,15,14,12,11
112,05003,452,10,8,8,7,6,5
113,05005,402,50,47,43,40,36,32
114,05007,6890,105,90,79,69,60,52
115,05009,806,50,45,39,34,29,25
116,05011,345,6,5,4,4,3,2
117,05013,36,2,1,1,1,1,1
118,05015,757,29,26,23,21,18,16
119,05017,1013,5,4,3,2,2,1
120,05019,381,13,12,11,9,9,8
121,05021,339,21,20,18,16,14,12
122,05023,360,12,10,9,7,7,6
123,05025,192,5,4,4,3,2,2
124,05027,555,25,23,21,20,18,17
125,05029,294,14,12,11,10,9,7
126,05031,3261,224,207,190,175,161,146
127,05033,1560,81,76,72,65,59,53
128,05035,2007,55,49,45,40,36,33
129,05037,480,25,22,20,18,16,14
130,05039,171,5,4,3,3,2,2
131,05041,320,8,7,6,5,4,4
132,05043,363,10,8,7,6,5,4
133,05045,2704,105,94,83,74,66,58
134,05047,325,25,23,21,19,18,16
135,05049,198,18,17,16,14,13,11
136,05051,2028,134,122,112,102,95,88
137,05053,277,11,9,8,8,6,6
138,05055,956,55,51,48,43,40,36
139,05057,405,13,12,10,9,8,7
140,05059,1954,21,18,16,13,11,9
141,05061,503,5,4,4,3,3,2
142,05063,1213,54,47,41,35,30,25
143,05065,268,20,19,17,16,14,12
144,05067,441,24,22,20,18,17,15
145,05069,3543,143,127,111,97,85,75
146,05071,883,15,14,12,11,10,8
147,05073,122,5,4,3,3,3,2
148,05075,492,32,29,27,25,22,20
149,05077,1081,4,4,3,3,2,2
150,05079,2088,27,26,23,21,18,17
151,05081,373,16,14,12,10,9,8
152,05083,446,15,14,12,11,10,9
153,05085,1314,78,73,68,63,59,55
154,05087,376,16,14,13,12,11,10
155,05089,107,17,16,15,13,12,11
156,05091,910,43,40,37,34,30,28
157,05093,1773,39,34,28,24,21,17
158,05095,145,4,3,3,2,2,1
159,05097,169,11,9,8,7,6,6
160,05099,233,6,5,5,4,4,3
161,05101,256,10,9,8,7,6,5
162,05103,275,16,14,12,10,9,8
163,05105,96,7,6,6,5,5,5
164,05107,550,13,11,9,8,7,6
165,05109,237,8,7,6,5,4,3
166,05111,711,30,28,24,21,18,16
167,05113,280,6,5,5,4,4,3
168,05115,2243,70,63,56,50,44,38
169,05117,161,6,5,5,4,4,3
170,05119,9770,519,476,440,399,361,323
171,05121,472,21,19,18,16,14,13
172,05123,1563,25,23,21,18,17,15
173,05125,2261,120,109,100,90,83,76
174,05127,112,6,6,5,4,4,3
175,05129,154,2,2,2,1,1,1
176,05131,3946,89,79,70,62,55,51
177,05133,1213,7,5,4,3,3,2
178,05135,254,24,22,21,19,17,16
179,05137,373,10,9,8,7,6,5
180,05139,943,41,37,34,31,28,25
181,05141,178,6,6,5,4,4,4
182,05143,9899,140,127,113,100,88,79
183,05145,966,77,72,66,60,56,50
184,05147,61,2,2,2,1,1,1
185,05149,1268,8,7,6,5,4,4
186,06001,21708,1174,1103,1033,967,906,849
187,06003,2,0,0,0,0,0,0
188,06005,296,13,12,11,10,9,8
189,06007,2894,148,131,118,105,94,82
190,06009,324,24,21,20,18,16,14
191,06011,538,13,11,9,9,8,6
192,06013,17159,702,661,631,606,585,567
193,06015,146,14,13,13,13,12,12
194,06017,1188,151,154,155,156,156,153
195,06019,28975,822,720,629,556,487,429
196,06021,603,17,16,13,12,10,9
197,06023,518,54,50,48,44,42,39
198,06025,12047,152,132,115,101,89,78
199,06027,194,4,3,3,3,3,3
200,06029,32443,568,507,460,417,377,344
201,06031,7887,75,68,63,60,55,50
202,06033,588,19,17,16,14,12,11
203,06035,743,15,15,15,15,14,14
204,06037,274565,4713,4114,3615,3198,2835,2536
205,06039,4642,126,108,93,82,71,63
206,06041,6773,92,83,74,66,59,52
207,06043,76,1,1,1,1,1,0
208,06045,988,65,62,58,54,50,46
209,06047,9033,197,185,177,169,157,141
210,06049,27,7,5,3,3,2,2
211,06051,169,3,3,3,2,2,2
212,06053,10312,499,466,429,387,345,311
213,06055,1752,73,68,65,61,57,53
214,06057,544,38,36,34,32,29,27
215,06059,54640,1127,1012,910,829,758,696
216,06061,3648,183,173,164,152,141,133
217,06063,51,4,5,5,5,5,5
218,06065,59991,1344,1213,1092,1000,916,837
219,06067,23076,1593,1505,1411,1320,1223,1109
220,06069,1365,26,24,21,19,15,14
221,06071,56275,1722,1568,1427,1302,1187,1086
222,06073,48436,2252,2213,2175,2127,2064,1983
223,06075,11475,660,641,624,608,588,564
224,06077,20485,423,383,351,326,313,311
225,06079,3685,239,238,235,232,227,222
226,06081,10207,662,660,659,662,664,663
227,06083,9256,263,247,231,218,206,194
228,06085,21840,1345,1324,1300,1272,1237,1200
229,06087,2494,236,235,229,225,218,211
230,06089,1117,139,147,153,153,152,148
231,06091,6,0,0,0,0,0,0
232,06093,167,11,10,9,8,8,7
233,06095,6520,260,242,228,211,198,182
234,06097,7861,485,473,457,439,423,403
235,06099,16737,266,235,213,196,183,173
236,06101,1748,73,66,60,53,48,42
237,06103,630,81,77,75,71,65,60
238,06105,23,1,1,1,1,1,1
239,06107,16399,339,297,262,232,205,183
240,06109,230,20,20,20,19,19,18
241,06111,13150,710,690,669,641,602,561
242,06113,2879,161,157,152,145,139,130
243,06115,1188,49,46,43,40,36,33
244,08001,9824,490,483,470,456,440,418
245,08003,250,2,2,1,1,1,1
246,08005,9690,485,481,481,475,469,458
247,08007,55,4,4,4,4,4,4
248,08009,18,0,0,0,0,0,0
249,08011,11,0,0,0,0,0,0
250,08013,4594,314,311,306,300,287,276
251,08014,690,52,52,51,49,49,48
252,08015,337,9,9,9,9,8,8
253,08017,14,0,0,0,0,0,0
254,08019,47,1,1,1,1,0,0
255,08021,37,2,2,2,1,1,1
256,08023,32,0,0,0,0,0,0
257,08025,74,0,0,0,0,0,0
258,08027,18,0,0,0,0,0,0
259,08029,191,14,14,14,14,13,13
260,08031,13811,509,492,473,452,429,408
261,08033,3,0,0,0,0,0,0
262,08035,2784,267,268,265,259,255,246
263,08037,1274,20,19,17,17,16,15
264,08039,168,13,13,12,12,11,11
265,08041,7187,479,462,449,433,417,398
266,08043,182,15,15,14,14,13,13
267,08045,965,19,17,16,14,13,12
268,08047,19,0,0,0,0,0,0
269,08049,85,3,3,2,2,2,2
270,08051,296,2,2,2,2,2,2
271,08053,3,0,0,0,0,0,0
272,08055,25,3,3,2,2,2,2
273,08057,9,0,0,0,0,0,0
