,County,200,206,213,220,227,234
0,01001,1169,94,87,77,69,60
1,01003,3544,679,673,642,590,519
2,01005,575,32,28,26,23,20
3,01007,438,59,56,52,47,43
4,01009,800,168,165,157,146,132
5,01011,464,11,10,8,7,6
6,01013,764,13,10,8,7,6
7,01015,1784,426,429,416,388,352
8,01017,841,59,56,52,47,42
9,01019,273,60,58,55,52,47
10,01021,792,115,110,102,92,83
11,01023,283,14,14,13,12,11
12,01025,662,52,49,45,40,36
13,01027,258,34,32,29,26,23
14,01029,127,16,17,17,17,17
15,01031,761,89,84,79,72,66
16,01033,1181,119,111,102,92,83
17,01035,393,33,30,26,22,18
18,01037,101,11,11,11,10,10
19,01039,735,107,101,91,81,71
20,01041,318,19,18,18,16,15
21,01043,1225,187,182,178,166,153
22,01045,834,114,108,102,95,85
23,01047,1323,66,56,48,39,33
24,01049,1819,188,179,168,153,138
25,01051,1723,149,136,123,109,98
26,01053,1082,161,146,128,108,93
27,01055,2121,368,351,322,289,253
28,01057,207,38,39,37,35,33
29,01059,1274,30,26,23,20,16
30,01061,261,70,67,64,59,52
31,01063,251,10,9,8,7,7
32,01065,476,20,17,15,12,10
33,01067,263,26,26,24,23,21
34,01069,1398,193,189,183,175,162
35,01071,989,163,157,146,134,120
36,01073,13109,1516,1443,1344,1238,1127
37,01075,222,31,30,28,26,23
38,01077,1167,219,208,194,179,162
39,01079,349,72,73,71,69,65
40,01081,2678,337,321,303,275,247
41,01083,1333,194,180,163,144,127
42,01085,572,8,7,5,4,4
43,01087,335,34,32,29,26,23
44,01089,5378,983,963,915,847,771
45,01091,552,31,27,24,21,19
46,01093,574,65,62,60,56,51
47,01095,3167,294,268,237,205,177
48,01097,9947,977,911,831,745,656
49,01099,421,48,43,38,34,30
50,01101,6835,304,264,230,199,170
51,01103,2393,279,256,231,209,183
52,01105,442,31,25,21,17,14
53,01107,400,32,31,29,27,24
54,01109,709,49,44,39,34,30
55,01111,401,43,43,41,38,36
56,01113,1368,132,120,104,91,78
57,01115,1338,242,230,211,193,173
58,01117,3283,465,455,435,402,368
59,01119,360,5,4,3,3,3
60,01121,1026,248,238,219,199,177
61,01123,855,60,57,55,52,47
62,01125,4213,335,304,269,235,208
63,01127,1526,106,99,93,86,76
64,01129,391,43,41,37,35,31
65,01131,429,15,13,12,10,8
66,01133,453,53,50,46,41,36
67,02013,2,2,4,5,8,9
68,02016,4,3,4,6,7,8
69,02020,2159,738,807,837,836,799
70,02050,22,2,2,2,2,2
71,02060,10,0,0,0,0,0
72,02068,1,0,0,0,1,1
73,02070,1,1,1,3,6,7
74,02090,439,86,100,110,113,115
75,02100,4,0,0,0,0,0
76,02105,0,4,4,4,4,3
77,02110,107,28,30,30,30,30
78,02122,322,57,61,64,66,67
79,02130,37,1,1,1,1,1
80,02150,6,0,0,0,0,0
81,02158,6,,,,,NaN
82,02164,0,4,4,6,5,4
83,02170,340,108,122,135,142,145
84,02180,19,0,0,0,0,0
85,02185,18,3,4,4,4,4
86,02188,39,4,4,4,4,4
87,02195,6,0,0,0,0,0
88,02198,8,3,2,2,2,2
89,02220,26,3,3,3,2,2
90,02230,0,0,0,0,0,0
91,02240,17,1,1,0,0,0
92,02261,50,8,11,15,17,15
93,02275,9,1,1,1,0,0
94,02282,7,0,0,0,0,0
95,02290,52,5,6,5,3,3
96,04001,3193,85,78,69,61,52
97,04003,1603,134,136,139,138,128
98,04005,3090,77,69,62,59,54
99,04007,912,105,102,94,85,74
100,04009,545,67,65,61,56,50
101,04011,57,6,6,6,7,6
102,04012,476,10,8,8,7,6
103,04013,126053,4235,3885,3587,3244,2821
104,04015,3186,212,196,179,161,143
105,04017,5374,88,69,54,43,34
106,04019,17880,1166,1065,974,876,777
107,04021,8378,181,150,131,121,116
108,04023,2662,43,34,29,24,19
109,04025,2004,376,362,334,307,285
110,04027,11510,285,220,166,125,94
111,05001,217,36,39,41,40,38
112,05003,326,57,55,55,52,47
113,05005,71,29,37,43,47,49
114,05007,4774,285,259,230,207,182
115,05009,211,82,95,102,105,102
116,05011,190,32,32,29,27,23
117,05013,16,4,4,4,4,4
118,05015,354,28,27,25,24,23
119,05017,733,45,38,32,26,21
120,05019,177,25,25,27,28,27
121,05021,136,19,21,21,21,20
122,05023,200,12,13,14,14,15
123,05025,97,11,12,11,11,10
