,Region,551,556,563,570,577
0,Belgium,,9,8,8,8
1,Bulgaria,,15,11,9,7
2,Czechia,,19,23,26,26
3,Denmark,,1,1,1,1
4,Germany,,117,107,100,96
5,Estonia,,1,1,1,1
6,Ireland,,3,2,2,1
7,Greece,,48,47,46,44
8,Spain,,218,288,349,386
9,France,,107,93,84,79
10,Croatia,,6,5,4,4
11,Italy,,66,59,54,51
12,Cyprus,,13,16,18,19
13,Latvia,,5,4,3,3
14,Lithuania,,4,4,4,3
15,Luxembourg,,1,1,1,1
16,Hungary,,6,5,4,4
17,Malta,,1,1,1,1
18,Netherlands,,24,29,33,36
19,Austria,,2,2,1,1
20,Poland,,27,21,18,16
21,Portugal,,107,136,160,170
22,Romania,,15,10,8,7
23,Slovenia,,2,2,2,2
24,Slovakia,,6,5,4,4
25,Finland,,4,5,5,6
26,Sweden,,4,3,3,3
27,United Kingdom,,492,580,649,687
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,0,0,0,0
30,Norway,,1,1,1,1
31,Switzerland,,3,3,3,3
