,Region,817,822,829,836,843
0,Belgium,,187,198,210,221
1,Bulgaria,,73,62,55,47
2,Czechia,,86,69,57,46
3,Denmark,,84,66,53,42
4,Germany,,1139,1051,988,918
5,Estonia,,22,21,20,18
6,Ireland,,107,120,135,149
7,Greece,,478,493,509,527
8,Spain,,884,1011,1167,1348
9,France,,787,789,788,789
10,Croatia,,50,43,37,32
11,Italy,,887,855,834,820
12,Cyprus,,19,21,22,23
13,Latvia,,23,18,14,11
14,Lithuania,,42,36,31,26
15,Luxembourg,,8,8,8,7
16,Hungary,,159,145,133,122
17,Malta,,15,15,16,16
18,Netherlands,,51,43,36,30
19,Austria,,166,142,124,106
20,Poland,,143,105,78,60
21,Portugal,,168,177,185,195
22,Romania,,97,83,76,68
23,Slovenia,,24,22,20,19
24,Slovakia,,176,184,193,202
25,Finland,,187,189,190,190
26,Sweden,,52,38,29,22
27,United Kingdom,,1472,1542,1625,1725
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,0,0,0,0
30,Norway,,49,34,24,17
31,Switzerland,,25,21,18,14
