,Region,614,619,626,633,640
0,Belgium,,68,82,98,114
1,Bulgaria,,412,399,395,382
2,Czechia,,27,36,48,63
3,Denmark,,13,13,12,12
4,Germany,,426,476,541,613
5,Estonia,,20,23,27,31
6,Ireland,,37,43,51,61
7,Greece,,181,150,126,108
8,Spain,,492,512,531,556
9,France,,373,332,302,277
10,Croatia,,107,131,160,190
11,Italy,,375,375,380,380
12,Cyprus,,8,7,6,5
13,Latvia,,46,53,63,74
14,Lithuania,,124,135,148,161
15,Luxembourg,,0,0,0,0
16,Hungary,,29,27,27,26
17,Malta,,3,2,2,2
18,Netherlands,,52,55,58,61
19,Austria,,90,113,141,178
20,Poland,,98,127,164,207
21,Portugal,,42,40,38,36
22,Romania,,1113,1590,2259,3165
23,Slovenia,,53,74,101,135
24,Slovakia,,28,40,56,80
25,Finland,,11,11,11,11
26,Sweden,,76,93,114,138
27,United Kingdom,,1027,1071,1125,1177
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,0,0,1,1
30,Norway,,9,9,9,9
31,Switzerland,,32,30,28,25
