,State,376,381,388,395,402
0,Washington,313335,8555,10138,7876,7305
1,Illinois,1128613,22360,20448,17183,18367
2,California,3342647,113779,104680,90632,117297
3,Arizona,762145,35784,40912,38113,43670
4,Massachusetts,526423,21457,15748,14201,16329
5,Wisconsin,592921,10381,11788,8189,8417
6,Texas,2412627,121068,115383,112905,108292
7,Nebraska,190950,3992,4298,3827,4842
8,Utah,347208,10113,10592,7933,6777
9,Oregon,143373,4015,5690,4154,3558
10,Florida,1727107,76099,55674,45509,51503
11,New York,1428839,79702,59540,67320,105690
12,Rhode Island,115956,2991,4769,4837,7995
13,Georgia,912479,44660,46839,42258,45713
14,New Hampshire,66058,3776,4763,2717,3158
15,North Carolina,761302,38952,35449,28522,28803
16,New Jersey,700346,33999,33082,25271,34999
17,Colorado,397101,10742,11426,9818,11653
18,Maryland,355636,12499,9732,8439,10477
19,Nevada,279146,7734,7300,5225,6488
20,Tennessee,729187,16929,12685,10691,11418
21,Hawaii,26156,769,866,720,798
22,Indiana,628391,15533,15856,12721,13305
23,Kentucky,364498,16673,16319,12227,16958
24,Minnesota,462528,7347,6681,5090,4613
25,Oklahoma,390868,15708,11806,9646,9227
26,Pennsylvania,849966,37171,49414,37699,40083
27,South Carolina,445916,25809,21748,17751,25350
28,District of Columbia,37008,1254,715,446,444
29,Kansas,279008,6339,12041,10931,14735
30,Missouri,474767,9146,9199,7671,8816
31,Vermont,12083,892,678,550,545
32,Virginia,507640,25963,27000,22592,22519
33,Connecticut,253954,8961,15701,14626,24489
34,Iowa,320187,6235,8961,7479,7375
35,Louisiana,401591,13604,11623,6995,10893
36,Ohio,899079,29345,27791,23746,22824
37,Michigan,612710,11122,17571,14792,14194
38,South Dakota,108315,1437,1997,1600,1994
39,Arkansas,296494,10088,10517,7951,8339
40,Delaware,78495,3700,3121,2176,2530
41,Mississippi,275706,9808,9379,7617,7878
42,New Mexico,174550,5148,4454,3771,4445
43,North Dakota,97680,705,673,614,715
44,Wyoming,52057,1132,1203,941,1161
45,Alaska,54459,1190,1243,1277,1324
46,Maine,39543,2646,3650,2323,2569
47,Alabama,460860,17468,21231,18330,21019
48,Idaho,163165,2627,3788,3664,4088
49,Montana,94070,2401,2481,1893,1911
50,Puerto Rico,94238,NaN,NaN,NaN,NaN
51,Virgin Islands,2421,NaN,NaN,NaN,NaN
52,Guam,7608,NaN,NaN,NaN,NaN
53,West Virginia,121425,5501,5314,4310,4572
54,Northern Mariana Islands,133,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
