,State,389,395
0,Washington,4675,149
1,Illinois,22121,322
2,California,47057,2150
3,Arizona,14978,948
4,Massachusetts,15484,607
5,Wisconsin,6745,63
6,Texas,41273,1838
7,Nebraska,2002,81
8,Utah,1794,48
9,Oregon,2137,145
10,Florida,28779,884
11,New York,45884,1031
12,Rhode Island,2290,87
13,Georgia,15871,518
14,New Hampshire,1133,44
15,North Carolina,10491,474
16,New Jersey,22454,340
17,Colorado,5824,67
18,Maryland,7554,178
19,Nevada,4709,160
20,Tennessee,10933,174
21,Hawaii,425,26
22,Indiana,12173,535
23,Kentucky,4282,204
24,Minnesota,6444,57
25,Oklahoma,4024,203
26,Pennsylvania,23065,557
27,South Carolina,7998,225
28,District of Columbia,979,40
29,Kansas,4329,302
30,Missouri,7771,339
31,Vermont,189,5
32,Virginia,7012,48
33,Connecticut,7381,135
34,Iowa,5236,83
35,Louisiana,9292,132
36,Ohio,16394,7610
37,Michigan,16119,261
38,South Dakota,1844,66
39,Arkansas,5265,169
40,Delaware,1283,60
41,Mississippi,6462,195
42,New Mexico,3529,141
43,North Dakota,1461,9
44,Wyoming,647,12
45,Alaska,282,9
46,Maine,649,18
47,Alabama,9242,562
48,Idaho,1803,34
49,Montana,1327,0
50,Puerto Rico,1919,38
51,Virgin Islands,25,0
52,Guam,130,1
53,West Virginia,2210,62
54,Northern Mariana Islands,2,0
55,American Samoa,0,0
