,State,487,493
0,Washington,NaN,71
1,Illinois,NaN,182
2,California,NaN,217
3,Arizona,NaN,117
4,Massachusetts,NaN,55
5,Wisconsin,NaN,38
6,Texas,NaN,246
7,Nebraska,NaN,102
8,Utah,NaN,35
9,Oregon,NaN,23
10,Florida,NaN,414
11,New York,NaN,121
12,Rhode Island,NaN,0
13,Georgia,NaN,170
14,New Hampshire,NaN,8
15,North Carolina,NaN,135
16,New Jersey,NaN,100
17,Colorado,NaN,77
18,Maryland,NaN,62
19,Nevada,NaN,8
20,Tennessee,NaN,61
21,Hawaii,NaN,1
22,Indiana,NaN,97
23,Kentucky,NaN,55
24,Minnesota,NaN,83
25,Oklahoma,NaN,14
26,Pennsylvania,NaN,219
27,South Carolina,NaN,6
28,District of Columbia,NaN,3
29,Kansas,NaN,6
30,Missouri,NaN,154
31,Vermont,NaN,3
32,Virginia,NaN,92
33,Connecticut,NaN,35
34,Iowa,NaN,68
35,Louisiana,NaN,38
36,Ohio,NaN,76
37,Michigan,NaN,294
38,South Dakota,NaN,2
39,Arkansas,NaN,36
40,Delaware,NaN,0
41,Mississippi,NaN,25
42,New Mexico,NaN,2
43,North Dakota,NaN,0
44,Wyoming,NaN,1
45,Alaska,NaN,28
46,Maine,NaN,19
47,Alabama,NaN,87
48,Idaho,NaN,12
49,Montana,NaN,1
50,Puerto Rico,NaN,16
51,Virgin Islands,NaN,0
52,Guam,NaN,0
53,West Virginia,NaN,11
54,Northern Mariana Islands,NaN,0
55,American Samoa,NaN,0
