,State,578,584
0,Washington,NaN,152
1,Illinois,NaN,126
2,California,NaN,684
3,Arizona,NaN,117
4,Massachusetts,NaN,30
5,Wisconsin,NaN,50
6,Texas,NaN,1266
7,Nebraska,NaN,38
8,Utah,NaN,51
9,Oregon,NaN,82
10,Florida,NaN,1875
11,New York,NaN,197
12,Rhode Island,NaN,9
13,Georgia,NaN,248
14,New Hampshire,NaN,2
15,North Carolina,NaN,288
16,New Jersey,NaN,49
17,Colorado,NaN,21
18,Maryland,NaN,64
19,Nevada,NaN,93
20,Tennessee,NaN,302
21,Hawaii,NaN,13
22,Indiana,NaN,120
23,Kentucky,NaN,100
24,Minnesota,NaN,31
25,Oklahoma,NaN,93
26,Pennsylvania,NaN,122
27,South Carolina,NaN,240
28,District of Columbia,NaN,3
29,Kansas,NaN,143
30,Missouri,NaN,165
31,Vermont,NaN,5
32,Virginia,NaN,56
33,Connecticut,NaN,22
34,Iowa,NaN,18
35,Louisiana,NaN,480
36,Ohio,NaN,74
37,Michigan,NaN,137
38,South Dakota,NaN,5
39,Arkansas,NaN,264
40,Delaware,NaN,23
41,Mississippi,NaN,284
42,New Mexico,NaN,27
43,North Dakota,NaN,10
44,Wyoming,NaN,24
45,Alaska,NaN,11
46,Maine,NaN,14
47,Alabama,NaN,256
48,Idaho,NaN,27
49,Montana,NaN,41
50,Puerto Rico,NaN,106
51,Virgin Islands,NaN,2
52,Guam,NaN,0
53,West Virginia,NaN,29
54,Northern Mariana Islands,NaN,0
55,American Samoa,NaN,0
