,State,256,262
0,Washington,2142,44
1,Illinois,9040,173
2,California,16147,504
3,Arizona,5706,68
4,Massachusetts,9510,118
5,Wisconsin,1377,129
6,Texas,16320,548
7,Nebraska,501,13
8,Utah,478,28
9,Oregon,572,30
10,Florida,14671,584
11,New York,33205,79
12,Rhode Island,1118,9
13,Georgia,7162,191
14,New Hampshire,443,3
15,North Carolina,3634,189
16,New Jersey,16136,45
17,Colorado,2068,18
18,Maryland,3958,27
19,Nevada,1623,34
20,Tennessee,2577,189
21,Hawaii,156,24
22,Indiana,3674,85
23,Kentucky,1209,51
24,Minnesota,2133,72
25,Oklahoma,1051,34
26,Pennsylvania,8195,99
27,South Carolina,3453,123
28,District of Columbia,631,3
29,Kansas,690,59
30,Missouri,2186,87
31,Vermont,58,0
32,Virginia,3273,118
33,Connecticut,4513,15
34,Iowa,1387,71
35,Louisiana,5577,101
36,Ohio,4925,169
37,Michigan,7124,80
38,South Dakota,248,40
39,Arkansas,1425,125
40,Delaware,645,7
41,Mississippi,3013,94
42,New Mexico,892,14
43,North Dakota,274,50
44,Wyoming,53,0
45,Alaska,58,8
46,Maine,142,0
47,Alabama,2558,61
48,Idaho,482,24
49,Montana,187,17
50,Puerto Rico,686,42
51,Virgin Islands,20,0
52,Guam,49,10
53,West Virginia,364,32
54,Northern Mariana Islands,2,0
55,American Samoa,0,NaN
