,State,480,486
0,Washington,NaN,87
1,Illinois,NaN,223
2,California,NaN,336
3,Arizona,NaN,51
4,Massachusetts,NaN,64
5,Wisconsin,NaN,69
6,Texas,NaN,334
7,Nebraska,NaN,45
8,Utah,NaN,52
9,Oregon,NaN,73
10,Florida,NaN,287
11,New York,NaN,191
12,Rhode Island,NaN,7
13,Georgia,NaN,154
14,New Hampshire,NaN,26
15,North Carolina,NaN,35
16,New Jersey,NaN,122
17,Colorado,NaN,120
18,Maryland,NaN,67
19,Nevada,NaN,19
20,Tennessee,NaN,42
21,Hawaii,NaN,5
22,Indiana,NaN,61
23,Kentucky,NaN,65
24,Minnesota,NaN,55
25,Oklahoma,NaN,37
26,Pennsylvania,NaN,181
27,South Carolina,NaN,43
28,District of Columbia,NaN,7
29,Kansas,NaN,46
30,Missouri,NaN,57
31,Vermont,NaN,3
32,Virginia,NaN,147
33,Connecticut,NaN,40
34,Iowa,NaN,40
35,Louisiana,NaN,38
36,Ohio,NaN,75
37,Michigan,NaN,399
38,South Dakota,NaN,9
39,Arkansas,NaN,49
40,Delaware,NaN,23
41,Mississippi,NaN,28
42,New Mexico,NaN,0
43,North Dakota,NaN,2
44,Wyoming,NaN,2
45,Alaska,NaN,8
46,Maine,NaN,9
47,Alabama,NaN,61
48,Idaho,NaN,15
49,Montana,NaN,8
50,Puerto Rico,NaN,70
51,Virgin Islands,NaN,0
52,Guam,NaN,0
53,West Virginia,NaN,22
54,Northern Mariana Islands,NaN,0
55,American Samoa,NaN,0
