,State,333,339
0,Washington,3104,3
1,Illinois,16407,987
2,California,22675,1944
3,Arizona,7971,781
4,Massachusetts,11717,371
5,Wisconsin,4743,363
6,Texas,25827,1493
7,Nebraska,1486,73
8,Utah,1155,108
9,Oregon,1341,228
10,Florida,20568,590
11,New York,36431,1046
12,Rhode Island,1625,138
13,Georgia,10383,275
14,New Hampshire,656,62
15,North Carolina,6224,468
16,New Jersey,18194,445
17,Colorado,4368,805
18,Maryland,5448,410
19,Nevada,2779,269
20,Tennessee,6071,688
21,Hawaii,282,9
22,Indiana,7404,524
23,Kentucky,2397,204
24,Minnesota,4909,432
25,Oklahoma,2212,116
26,Pennsylvania,13834,1357
27,South Carolina,4935,265
28,District of Columbia,737,16
29,Kansas,2341,117
30,Missouri,5076,561
31,Vermont,111,9
32,Virginia,4650,274
33,Connecticut,5581,245
34,Iowa,3588,848
35,Louisiana,7042,248
36,Ohio,8047,667
37,Michigan,12074,945
38,South Dakota,1361,82
39,Arkansas,3237,287
40,Delaware,862,96
41,Mississippi,4409,194
42,New Mexico,2171,316
43,North Dakota,1231,52
44,Wyoming,351,101
45,Alaska,184,10
46,Maine,292,42
47,Alabama,4389,230
48,Idaho,1280,102
49,Montana,865,50
50,Puerto Rico,1368,52
51,Virgin Islands,23,0
52,Guam,119,5
53,West Virginia,1128,174
54,Northern Mariana Islands,2,0
55,American Samoa,0,0
