,State,438,444
0,Washington,5278,47
1,Illinois,23654,114
2,California,59711,780
3,Arizona,16990,26
4,Massachusetts,17281,154
5,Wisconsin,7340,82
6,Texas,48697,629
7,Nebraska,2181,24
8,Utah,2132,32
9,Oregon,2392,8
10,Florida,33674,698
11,New York,50633,530
12,Rhode Island,2630,13
13,Georgia,19212,215
14,New Hampshire,1249,0
15,North Carolina,12136,134
16,New Jersey,24637,217
17,Colorado,6126,47
18,Maryland,8350,84
19,Nevada,5274,18
20,Tennessee,11915,193
21,Hawaii,467,4
22,Indiana,13074,94
23,Kentucky,6149,138
24,Minnesota,6953,42
25,Oklahoma,4953,156
26,Pennsylvania,25173,232
27,South Carolina,9196,86
28,District of Columbia,1070,20
29,Kansas,4889,46
30,Missouri,8866,59
31,Vermont,229,3
32,Virginia,10329,111
33,Connecticut,7904,52
34,Iowa,5822,29
35,Louisiana,10161,104
36,Ohio,18741,34
37,Michigan,17259,176
38,South Dakota,1938,3
39,Arkansas,5643,32
40,Delaware,1566,23
41,Mississippi,7055,71
42,New Mexico,3949,25
43,North Dakota,1498,0
44,Wyoming,700,0
45,Alaska,313,1
46,Maine,745,5
47,Alabama,10637,121
48,Idaho,1966,5
49,Montana,1466,17
50,Puerto Rico,2131,18
51,Virgin Islands,26,0
52,Guam,136,1
53,West Virginia,2695,97
54,Northern Mariana Islands,2,0
55,American Samoa,0,0
